"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					76	0	44267					0			0	24613	0	0	0									
242	0	0					275	0	11856					4797			0	6864	3	0	900									
279	0	0					1665	31274	10101					24752			14610	3231	1	0	0									
354	0	0					5	0	5820					0			0	769	0	0	0									
457	0	0					138	156	343					1200			155	340	3	0	0									
505	0	8165					3203	0	80076					21000			0	30636	0	0	0									
1155	0	1002					229	58	30185					0			0	12157	0	0	13354									
1351	0	0					0	72925	2771					0			40935	0	0	0	0									
1454	0	8014					1009	0	332114					0			0	104179	30	0	0									
1557	0	0					255	0	20150					3375			0	3763	0	0	0									
1669	0	8538					916	43695	71773					0			25502	0	0	0	0									
1829	0	0					3506	0	102224					42118			0	29815	2205	0	5289									
1856	0	0					1440	0	19429					30000			0	0	0	0	0									
2040	0	0					1546	0	59267					4000			0	29197	16	0	8213									
2161	0	0					823	1	26449					0			0	17004	0	0	0									
2376	0	0					44046	87667	317594					912003			0	0	0	0	0									
2554	0	0					47	0	3439					750			0	2880	0	0	0									
2732	0	0					174	0	94859					0			0	62571	0	0	0									
2750	0	0					550	0	14115					14122			0	4817	3947	0	0									
3177	0	34					6039	800	109066					112954			494	0	29	0	0									
3252	0	0					725	656	69579					4500			656	17235	0	0	0									
3458	0	0					192	2385	11295					0			2385	0	0	0	6875									
3720	0	5890					221	172	52519					0			172	8618	0	0	2773									
