"IDRSSD"	RIADC899	RIADC900	RIADC901	RIADC902	RIADC903	RIADC904	RIADC905	RIADC906	RIADC907	RIADC908	RIADC909	RIADC910	RIADC911	RIADC913	RIADC914	
	TOTAL INTEREST INCOME IN FOREIGN OFF	TOT INTEREST EXPENSE IN FOREIGN OFFI	PROVISION LOAN&LEASE LOSSES FRGN OFF	NONINT INCOME FRGN OFFICS:TRADNG REV	NONINT INC FRG OFFCS:INVMT BKG,ADVRY	NONINT INC FRG OFFCS:NT SECURIZATION	NONINT INC FRGN OFFICS:OTHER NONINTE	REALZD GAINS(LOSS) ON H-T-M & A-F-S 	TOTAL NONINT EXPENSE IN FOREIGN OFFI	ADJMTS TO PRETAX INC FOREIGN OFFICES	APPLICABLE INCOME TAXES	EXTRAORDINARY ITEMS&OTHER ADJMNTS,ET	NET INC ATTRIBUTABLE TO FRGN OFFICES	ELIMINATIONS ARISING FRM CONSOLIDATN	CONSOLIDTD NET INC ATTRIBTLE FRGN OF	
111205																
111661																
111942																
111979																
112163																
112332																
112444																
112510																
112556																
112837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113003																
113030																
113441																
113601																
113740																
113937																
114149																
114158																
114251																
114260																
114457																
114756																
114774																
114840																
114859																
115100																
115146																
115221																
115575																
116077																
116358																
116554																
116639																
116732																
116741																
116871																
117038																
117074																
117458																
117672																
117775																
118156																
118174																
118660																
118736																
119153																
119274																
119528																
119779																
119872																
120476																
120542																
120609																
120953																
121642																
121651																
121679																
121914																
122153																
122546																
122573																
122854																
123075																
123374																
123646																
124344																
124830																
125154																
125471																
125855																
125873																
125958																
126012																
126049																
126254																
126375																
126553																
126740																
126834																
127055																
127224																
127701																
128089																
128258																
128511	4	2	0	0	0	0	0	0	19	0	-7	0	-10	0	-10	
128904																
129349																
129358																
129479																
129732																
129853																
129910																
130345																
130541																
130671																
130813																
131034																
131155																
131173																
131418																
131436																
131650																
131717																
131940																
132107																
132152																
132451																
132554																
132778																
132853																
132938																
133579																
133850																
133971																
134156																
134437																
134455																
134848																
135836																
135854																
136048																
136338																
136459																
136655																
137205																
137447																
137456																
137559																
137643																
137652																
137821																
137915																
138051																
138257																
138556																
138725																
138752																
139133																
139432																
139478																
139553																
139656																
139740																
139834																
139843																
139955																
140018																
140157																
140362																
140634																
141211																
141341																
141350																
141453																
141556																
141677																
141958																
142049																
142179																
142571																
142656																
142955																
143073																
143372																
143662																
143859																
143952																
144034																
144052																
144155																
144436																
144678																
144856																
144913																
145059																
145545																
145554																
145741																
145750																
145844																
145956																
146056																
146618																
146654																
146663																
146672																
146850																
147053																
147633																
147651																
147679																
147857																
147923																
148144																
148171																
148238																
148340																
148470																
148715																
148809																
148920																
149150																
149253																
149271																
150035																
150044																
150156																
150334																
150352																
150576																
150727																
150754																
151546																
151555																
151751																
151872																
151957																
152057																
152253																
152374																
152431																
152440																
152646																
153054																
153353																
154154																
154257																
154770																
155245																
155375																
155517																
155759																
155777																
156457																
156635																
156952																
156970																
157155																
157379																
157650																
157744																
157856																
157904																
158376																
158554																
158741																
158750																
158947																
158974																
159636																
159645																
159953																
159971																
160360																
160454																
160557																
160614	14	0	0	0	0	0	9733	0	9488	0	46	0	213	1332	1545	
160650																
160959																
161273																
161433																
161602																
162337																
163343																
163370																
