"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					67	0	43334					0	0	0			0	31281	0	0	0												
242	0	1604					186	0	11257					4400	0	0			0	5033	3	0	0												
279	0	0					2164	39179	10715					31142	0	0			7756	905	0	0	0												
354	0	496					0	0	896					0	0	0			0	0	0	0	0												
457	0	0					360	34	3					6500	0	0			34	0	3	0	0												
505	0	0					6455	0	75325					80080	0	0			0	18768	0	0	0												
1155	0	2022					355	0	23041					0	0	0			0	12451		0	0										0		
1351	0	0					191	44981	5808					0	0	0			18758	0	0	0	0												
1454	0	31950					1211	0	386096					0	0	0			0	90923	73	0	0												
1669	0	15643					186	31580	57783					0	0	0			28578	0	0	0	0												
1856	0	0					1465	0	32348					30000	0	0			0	0	0	0	0												
2161	0	0					398	0	25353					0	0	0			0	21060	39	0	0												
2732	0	0					174	0	47375					0	0	0			0	17360	0	0	0												
2750	0	0					200	0	5695					825	0	0			0	4439		0	0										9867		
3252	0	0					682	0	79609					6200	0	0			0	15833	0	0	0												
3458	0	0					300	4671	3802					2194	0	0			4671	589		0	500										0		
3720	0	753					270	1800	80202					0	0	0			1800	16316	0	0	1359												
3971	0	0					6338	0	47058					112893	0	0			0	0		0	0										1001		
4156	0	0					367	0	43161					3250	0	0			0	21380		0	1369										104		
4231	0	0					0	0	40496					0	0	0			0	17513	0	0	0												
5069	0	0					0	0	21629					0	0	0			0	5959		0	0										1001		
5135	0	12986					1780	0	61153					31411	0	0			0	4174	0	0	0												
5210	0	0					3644	19234	190837					62218	0	0			0	10996		0	33435										1045		
5461	0	1010					3006	0	132979					0	0	0			0	63524		0	0										0		
5751	0	0					401	0	38013					0	0	0			0	21637	0	0	0												
6039	0	1998					296	0	20970					0	0	0			0	3410	0	0	0												
6329	0	0					984	0	29046					7000	0	0			0	7032	0	0	0												
7009	0	190507					0	0	267434					0	0	0			0	76927		0	0										22185		
7045	0	0					759	0	105198					0	0	0			0	48394	0	0	0												
7072	0	0					3300	753	20631					20447	0	0			0	1636		0	0										0		
7456	0	0					467	0	11536					1700	0	0			0	10788	0	0	0												
7634	0	0					103	1	11469					0	0	0			0	5307	0	0	0												
8033	0	0					1506	0	6445					16136	0	0			0	3358		0	0										0		
8462	0	0					21	0	99651					0	0	0			0	17401	0	0	0												
8631	0	0					336	0	12296					0	0	0			0	320		0	0										0		
9357	0	0					755	0	51064					0	0	0			0	0	985	0	0												
9553	0	0					2486	34702	26574					54949	0	0			34702	877	0	0	0												
9807	0	235644					5584	0	482778					7212	0	0			0	232155		0	24875										1262		
9955	0	0					1050	0	37204					18502	0	0			0	31875		0	0										1247		
10250	0	0					1036	0	129354					0	0	0			0	52432	0	0	0												
10849	0	0					730	0	87518					4000	0	0			0	8696		0	0										0		
11145	0	0					1350	0	19354					28633	0	0			0	7232	0	0	0												
11640	0	0					4846	0	100791					0	0	0			0	55520	0	0	0												
11837	0	0					100	0	52458					0	0	0			0	3949	0	0	0												
12030	0	13923					7965	2113	30306					0	0	0			1710	0	0	0	0												
12142	0	0					706	162	72075					0	0	0			155	28771		0	0										0		
12311								0	0						0	0																0	0	0	
12647	0	0					152	18519	0					0	0	0			16842	0	0	0	0												
12656	151	0					29	1224	0					0	0	0			628	0	0	0	0												
12946	0	0					9578	0	226946					120778	0	0			0	128970		0	0										3696		
13103	0	0					3399	0	196836					45414	0	0			0	23842		0	0										178409		
13251	0	552					527	0	1888					0	0	0			0	1033	0	0	0												
13457	0	0					0	0	5195					0	0	0			0	4241	12	0	0												
14155	0	0					965	0	12854					5000	0	0			0	11452	36	0	0												
14650	0	0					47	3748	0					0	0	0			2738	0	0	0	0												
14753	0	0					169	4429	6413					0	0	0			4066	4776	0	0	0												
14865	0	0					688	1822	19173					0	0	0			1822	1025	0	0	0												
14977	0	0					212	0	0					0	0	0			0	0	0	0	0												
16551	0	0					1380	19270	28517					3000	0	0			19270	24490		0	0										0		
16748	0	0					209	7980	11086					0	0	0			7980	0	0	0	0												
