"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	7186	0	3134	10942	0	19490	0	0	0	0	0	49467	0	276		26593	3185	4631	17005	0	4311	12714	6788	2780	3241	5955	2729	579	16356	49191	0	0	468	0	12167	337	0	0	8859	336	0	
242	4357	0	1019	6483	0	12113	0	0	0	0	0	16599	0	2302		5663	3495	1759	3724	0	927	2798	1512	426	365	2001	618	100	11094	14297	0	0	247	0	1834	1250	0	0	1116	1250	0	
279	22049	0	0	9015	0	25723	0	0	0	0	0	90758	0	0		31551	3669	12973	20832	0	5620	15213	9168	1551	5354	14413	12087	1635	25723	90758	0	0	4902	0	29387	4102	0	0	17524	2242	0	
354	1383	0	113	2984	0	2984	0	0	0	0	0	6074	0	972		2638	1546	0	2638	0	904	1734	0	0	407	100	0	0	2871	5102	0	0	0	0	507	0	0	0	507	0	0	
457	5075	0	317	4495	0	7301	0	0	0	0	0	29028	0	1598		9131	11917	2655	6849	0	1903	4946	1735	547	207	2195	503	0	6984	27430	0	0	447	0	2905	0	0	0	2402	0	0	
505	150077	1	7486	16203	0	29541	0	0	130	842	0	316255	0	97806		29482	121678	6417	23832	59	10850	12982	5093	557	5112	7577	2103	226	22054	218449	0	0	1527	712	11037	3981	476	0	9158	3531	0	
1155	961	1	2604	25467	0	105626	0	0	0	0	0	77235	0	1870		40774	11308	13576	23328	0	23083	9989	5961	1741	14758	5414	3119	901	102983	75365	38	0	5125	0	17962	6230	0	0	9517	5009	0	
1351	4532	0	8763	16587	0	29941	0	0	0	0	0	111808	0	6415		47480	19408	9904	37001	0	10413	26588	10480	0	9107	21483	9798	0	21178	105393	0	0	3537	0	29328	11060	0	0	22691	7899	0	
1454	1134	0	14428	177132	0	298208	0	0	0	0	0	304914	697	25673		49118	197771	24731	28352	0	14153	16915	13953	4097	23854	22502	8090	2445	283780	278544	0	0	7035	0	19711	37180	0	0	12489	10166	0	
