"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK256	RIADG377	
1557																																																																												0	9219	0		22485			5736	0	0	0	49961	0	0	0	6353	0	364	14851	0	82	341	1130	4396	319	6000	17391	2525	4736	9096	3476								0	0			0	0	299	0	1118	2660			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		12109		0	3	0	0	0	0	0	0	0	657	0	0	0	0	0			0	0	0			0	0	1431			0		
1669																																																																												0	6	23		3668			8422	0	0	3698	108428	0	0	0	56287	1865	28582	10949	508	1458	510	1075	27187	25463	3434	7093	8628	7652	19406	5567								0	0			0	0	1852	97	15608	4801			0			0	26																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	53	0	0	0	0	0	0	0	5837	0	0	0	0	0			0	0				0	0	6211			0		
1829																																																																												0	0	9240	0	0	28124	0	28124	10185	0	0	307221	384	5387	0	122866	8430	17162	14558	812	1552	6253	11195	55463	47222	27014	8238	25607	37699	56650	25126		0	0	0		0	0	737	323	0		0	0	2411	7889	24392	87399	0	5387	0			0	1303																							0	0	0	0	0	0	0	0	0	0	0	0	0	75654	13	0	13	0	0	0	0	0	0	0	29	0	0	0	0	0	418	0	0	0	0			0	0	180			418	0	
1856																																																																												0	2667	4715		549			10257	0	0	350	31014	0	790	0	2714	0	2683	11548	39	5	2032	62	483	94	7185	4896	9999	5373	847	0								0	0			0	0	0	1243	140	7331			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		4789		0	1	0	0	0	0	0	0	0	92	0	0	0	0	0			0	0				0	0	165			0		
2040																																																																												0	1839	11953		6426			24482	908	0	2695	130968	0	0	0	20565	826	1116	39665	1380	3056	4574	4882	3794	1709	25389	9841	22707	30889	16540	3622								0	6			0	0	1854	5145	38868	13995			0			973	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	95520		0	11	0	0	0	0	0	0	0	140	0	59	0	870	1439			451	0	451			0	0	1255			0	0	
2161																																																																												0	13	0		14224			23804	0	0	0	91719	0	0	0	41300	63	34794	30174	1866	7077	6265	16696	8684	712	10252	12129	11083	10093	6561	301								275	28			0	0	1420	0	2200	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	3176	0	0	0	0	0			0	0	0			0	0	5216			0	0	
2376																																																																												0	0	1635259	0	0	20777	0	20777	4729	0	0	3413074	0	0	12105	231168	3251	21040	78065	1572	27208	4336	5662	42623	148976	16690	53705	101784	243523	2577117	179514		0	0	0		0	0	0	0	0		0	0	0	2351	69457	1446030	0	0	0			0	137																							0	0	0	0	0	0	0	0	0	0	0	0	0	2739994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0			0	0	52			0	0	
2554																																																																												0	2769	0		1402			1568	0	0	342	6953	0	0	0	229	0	112	1405	35	0	45	32	13	0	3601	47	701	1833	534	0								0	0			0	0	0	0	83	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	144	0	0	0	0	0	0	0	271	0	0	0	0	0			0	0	0			0	0	145			56		
2732																																																																												0	0	118173	0	0	44598	0	44598	11607	0	0	391823	438	0	12478	21862	930	7325	43587	4611	479	9472	7025	275	0	132317	30872	74672	125048	4955	0		0	0	0		0	0	0	0	0		0	0	10371	49405	49413	84511	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	145	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0			0	0	698			0	0	
2750																																																																												1352	6542	0		26290			1895	0	0	500	47239	0	0	0	2871	77	726	26666	13	738	1083	1037	0	0	21177	7170	7372	6181	1188	1280								0	59			0	0	1328	0	900	3373			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	16156		0	1346	0	0	0	0	0	0	0	375	0	0	0	0	0			0	0	0			0	0	331			0	0	
3252																																																																												0	25844	0		46727			10555	0	0	3477	101634	0	100	0	342	0	320	0	3	286	30	14	9	0	34460	36485	19775	4710	1792	0								0	0			0	0	0	815	0	6990			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	33319		0	636	0	0	0	0	0	0	0	1526	0	0	0	0	0			0	0	0			0	0	4622			0	0	
3458																																																																												0	10142	204		4906			4813	0	0	0	30745	0	0	0	5076	4	0	4567	30	246	1310	3351	28	111	1650	2878	7376	11557	2199	0								0	0			0	0	237	0	2924	369			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	1436	0	0	0	0	0			0	0	0			0	0	634			131		
3720																																																																												0	10175	2639		9140			14546	2815	0	931	141886	0	0	620	31157	667	970	33387	2183	3991	7224	13160	4121	222	17604	11378	29046	42577	9950	40								0	271			0	0	5759	4283	27028	25569			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		41428		0	199	0	0	0	0	0	0	0	2442	0	0	0	0	141			0	0	0			0	0	4265			37		
3971																																																																												0	30885	43270	0	42205	68839	0	68839	29175	0	0	640435	0	39669	885	114770	6193	30205	79784	5874	11755	16556	28453	24089	24325	137794	36806	91438	126439	127315	1570		0	0	0		0	0	0	918	0		0	0	1724	40994	47704	144799	0	39669	0			10422	3168																							0	0	0	0	0	0	0	0	0	0	0	0		116720	12	0	12	0	0	0	0	0	0	0	567	0	103	0	1171	0	0	0	3540	3206	0			0	0	28711			0		
4156																																																																												0	19040	9857		12892			16016	2372	0	0	146276	0	602	0	37983	980	15098	28859	115	658	2402	3059	18047	13680	13506	18236	20673	9015	43979	2260								0	0			0	0	1453	4256	7266	31865			0			21	48																							0	0	0	0	0	0	0	0	0	0	0	0		46954		0	0	0	0	0	0	0	0	0	833	0	0	0	0	0			0	0	0			0	0	861			0		
4231																																																																												0	6817	0		440			3671	0	0	167	46047	0	0	0	8019	0	19	15619	167	51	3818	3163	374	0	6062	9394	16442	4039	320	0								0	0			0	0	76	1390	8967	11778			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	19	0	0	0	0	0	0	0	691	0	0	0	455	773			0	0				0	0	4012			0	0	
4839																																																																												0	0	48818	0	0	4798	0	4798	4801	0	0	233135	0	0	0	31047	2055	172	60323	3251	5434	9443	9913	235	2261	33361	20143	59318	81153	3282	0		0	0	0		0	0	0	267	0		0	0	7438	6190	70639	54776	0	0	0			493	469																							0	0	0	0	0	0	0	0	0	0	0	0		55703	903	0	903	0	0	0	0	0	0	0	243	0	0	8760	3876	670	0	0	0	0	0			0	0	1160			0		
5069																																																																												0	11700	7759	0	0	2449	0	2449	911	0	0	394180	4773	0	0	52275	16342	12672	236255	22475	11516	14130	0	0	0	71793	134943	99976	12641	0	0		0	0	0		0	0	0	0	12030		0	0	124942	34258	59664	88653	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		120392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6518	0	0	0	0	0	0			0	0	0			0		
5135																																																																												0	87633	5024	0	57139	26469	0	26469	0	0	9103	313115	0	0	0	63046	860	6190	175926	7389	15863	22547	13728	2966	110	91449	61891	71165	15259	5625	2356		0	0	0		0	0	622	0	0		0	0	733	6440	34688	9626	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	49857	81	0	81	0	0	0	0	0	0	0	4354	0	0	0	0	0	0	0	0	0	0			0	0	7297			0	0	
5210																																																																												0	24949	33556	0	1078	52944	0	52944	70072	0	73272	909680	0	0	0	314523	30225	88478	52675	26072	34740	17571	18892	83672	133095	130888	41582	111195	135877	144769	26826		0	0	0		0	0	0	5880	0		0	0	8683	12150	110982	149493	0	0	0			272	471																							0	0	0	0	0	0	0	0	0	0	0	0	0	506689	6895	6154	6895	0	0	0	0	0	0	0	590	0	0	0	2326	4846	0	0	0	0	0			0	0	8234			0	0	
5461																																																																												0	27245	23964	0	9654	25664	0	25664	7245	0	0	336909	451	0	16490	36000	1610	1090	64402	1165	2357	5635	7638	8097	10357	20037	40855	43102	88524	106964	266		0	0	0		0	0	0	113	0		0	0	1240	12604	58641	116387	0	0	0			573	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	200217	8876	0	8876	0	0	0	0	0	0	0	36	0	0	0	4576	0	0	0	0	0	0			0	0	8081			0	0	
5751																																																																												0	20854	6350		28164			27394	2205	0	600	139110	0	1503	0	22492	87	16598	33564	224	622	1330	822	8868	10571	16705	24483	11136	12834	25257	25884								0	44			0	0	1777	841	9257	13171			0			0	55	38	1057	183	2333	2	137	2956	71	0	8	92	38	1079	184	2345	2	138	3150	73	0	8	92	0	0	0	0	0	0	0	0	0	0	0	0		18496		0	31	0	0	0	0	0	0	0	2813	0	67	0	858	0			0	0	0	6	6	0	0	1527	4	4	0		
6039																																																																												0	34358	1081		5418			14144	346	0	1228	179808	299	0	0	25034	999	5135	45291	1363	5470	7340	4856	5754	0	37430	22389	33503	21470	31740	5752								522	372			0	0	4254	17282	30209	37849			0			2947	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	657	0	0	0	0	0	0	0	1747	0	223	0	840	1621			0	0	0			0	0	4607			496	0	
6141																																																																												0	2253	0		1826			1347	0	0	0	18708	0	0	0	4069	0	200	2784	22	178	239	377	2549	194	953	1631	3693	5157	3057	148								0	0			0	0	0	0	0	4122			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	938	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0			0	0	4153			0	0	
6329																																																																												0	6403	4283	0	3008	35734	0	35734	2342	0	647	490479	0	0	0	100352	3272	3328	101629	8687	12903	27774	46431	1928	235	27283	54150	103889	149322	51774	494		0	0	0		0	0	1023	1285	0		0	0	25645	37718	72259	23553	0	0	0			0	707																							0	0	0	0	0	0	0	0	0	0	0	0	1577	0	334	95	334	0	0	0	0	0	0	0	138022	0	85	0	0	233	92	0	120	115	5			0	0	34504			92	0	
