"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					79	0	49255					0			0	31253	0	0	0									
242	0	0					275	0	11670					5523			0	6781	3	0	0									
279	0	0					1669	27413	7233					31044			13857	2276	1	0	0									
354	0	0					5	0	5667					0			0	622	0	0	0									
457	0	0					227	153	281					3400			152	278	3	0	0									
505	0	8242					2714	0	71572					10500			0	28832	0	0	0									
1155	0	1000					232	47	30745					0			0	11591	0	0	9903									
1351	0	0					0	65808	2576					0			37073	0	0	0	0									
1454	0	6031					1087	0	338290					0			0	109312	26	0	0									
1557	0	0					254	0	13623					3398			0	2532	0	0	0									
1669	0	10015					166	46376	77427					0			29415	0	0	0	0									
1829	0	0					3657	0	100121					42442			0	29952	2064	0	0									
1856	0	0					1440	0	32300					30000			0	0	0	0	0									
2040	0	0					1546	0	57120					23000			0	30370	16	0	8810									
2161	0	0					323	0	24100					0			0	16194	0	0	0									
2376	0	0					37302	123275	236967					752256			0	0	0	0	0									
2554	0	0					34	0	3773					417			0	2641	0	0	0									
2732	0	0					174	0	133204					0			0	66846	0	0	0									
2750	0	0					358	0	12029					6636			0	4703	3939	0	0									
3177	0	34					6089	610	106245					112954			402	0	43	0	0									
3252	0	0					765	639	75915					5000			639	18118	0	0	0									
3458	0	0					192	2510	10894					0			2510	0	0	0	7000									
3720	0	6740					225	172	48834					0			172	6017	0	0	4063									
3971	0	0					1799	0	62863					36967			0	0	1021	0	0									
4156	0	256					697	0	33759					15500			0	18719	0	0	1183									
4231	0	0					0	0	51592					0			0	17682	0	0	0									
4437	0	0					342	0	82650					1338			0	17011	0	0	2244									
4839	0	0					1134	0	77133					22416			0	30226	0	0	9573									
5069	0	0					0	0	34320					0			0	16768	5424	0	0									
5135	0	13900					1369	0	37170					21421			0	4710	0	0	0									
5210	0	0					3692	73507	107977					75500			0	29543	1063	0	37724									
5461	0	1506					2271	0	150041					0			0	66393	0	0	0									
5751	0	0					384	0	41773					6250			0	29869	0	0	0									
6039	0	0					76	0	11325					0			0	268	7	0	0									
6141	0	0					0	22364	0					0			12805	0	0	0	0									
6329	0	0					441	0	32241					0			0	6114	0	0	0									
7009	0	0					0	0	307287					0			0	70506	10746	0	0									
7045	0	0					751	0	102047					0			0	38316	0	0	0									
7072	0	0					1969	9541	5578					15000			1229	397	0	0	0									
7157	0	754					23	267	18986					0			267	8557	0	0	0									
7456	0	0					372	0	18283					0			0	15912	0	0	0									
7634	0	0					88	4	12542					700			0	5155	0	0	0									
8033	0	0					1271	0	9374					13600			0	2375	0	0	0									
8462	0	0					21	0	103738					0			0	15580	0	0	0									
8631	0	0					68	0	14129					0			0	0	0	0	0									
9357	0	0					541	0	49708					0			0	0	1005	0	0									
9553	0	0					2128	28868	28546					47091			28868	2957	5747	0	0									
9807	60162	5000					15573	328685	48968					190000			161923	41592	0	0	67583									
9955	0	999					786	0	36471					12970			0	25088	0	0	0									
10250	0	843					868	0	81942					0			0	13742	0	0	0									
10849	3985	0					550	28109	51018					0			0	2740	0	0	0									
11145	0	0					753	0	20360					12793			0	12474	0	0	0									
11275	0	0					11191	68313	5327					174335			26112	0	0	0	41104									
11640	0	0					4382	0	101184					57500			0	48385	0	0	0									
11837	0	0					734	0	44879					15000			0	2519	0	0	0									
12030	0	4001					7354	3288	16596					0			2577	0	0	0	0									
12142	0	0					611	727	73870					2000			725	26443	0	0	0									
12179	0	632					725	71	957					1298			0	0	28	0	0									
12311	0	4991	0	0	0	34499	332418	3157688	10734448	0	70015300	403075	63217202	5462181	356500	364117	7216	2328092	10145	0	567736	204134	290077	2589838	6474136	0	1224477	0	3914	
12647	0	0					310	17158	0					0			15798	0	0	0	0									
12656	0	0					29	950	0					0			750	0	0	0	0									
12937	0	0					607	0	2000					0			0	0	0	0	0									
12946	0	0					3975	0	187947					840			0	90617	1640	0	0									
12955	0	0					225	225	2					1848			225	0	0	0	0									
13103	0	0					9114	0	279185					107926			0	8185	111478	0	0									
13251	0	554					332	0	1501					0			0	944	0	0	0									
13457	0	0					0	0	5019					0			0	4227	62	0	0									
14052	0	0					152	0	5203					1000			0	2294	0	0	0									
14155	0	0					792	0	12615					3450			0	9364	14	0	0									
14650	0	0					48	2606	18					0			1606	0	0	0	0									
14753	0	0					9	12055	2889					0			8678	2545	0	0	0									
14865	0	0					581	4252	11596					0			4252	2349	0	0	0									
14977	0	0					294	4	4750					6708			0	0	0	0	0									
16551	0	0					2050	21122	39818					12891			21122	32771	0	0	0									
16748	0	0					209	9842	7726					0			9842	0	0	0	0									
16953	0	0					0	4455	9535					0			4455	0	0	0	0									
17110	100	0					219	100	17591					0			0	0	17591	0	0									
17147	0	0					34498	610954	595320					238090			218794	301118	0	0	153822									
17259	0	0					340	560	15078					3000			560	12442	0	0	0									
17464	0	0					3012	143363	296139					0			41524	0	535	0	0									
17950	0	0					864	0	185632					0			0	58793	0	0	0									
17978	116627	0					3355	164415	0					7541			4386	0	0	0	0									
18050	0	0					706	24373	156425					5092			20420	32360	0	0	0									
18135	0	0					1126	24162	92781					16400			2177	28945	0	0	15359									
18377	0	0					51	0	9981					600			0	455	0	0	0									
18827	0	0					1468	0	154060					0			0	40805	10944	0	0									
18836	0	0					415	0	17790					2581			0	8066	0	0	0									
18854	0	0					1006	0	0					0			0	0	0	0	0									
19356	0	0					110	0	35589					1811			0	22049	0	0	0									
19730	0	0					3247	3808	202516					15000			2230	0	4532	0	0									
19936	0	0					466	20595	13276					5000			3901	1027	0	0	0									
19972	0	0					31	22735	0					0			22299	0	0	0	0									
20053	0	0					214	0	9281					0			0	4829	0	0	0									
20512	0	0					90	984	36023					0			952	15116	0	0	0									
20633	0	0					821	0	77637					6000			0	26775	809	0	0									
20857	0	10160					478	0	114340					3849			0	81173	0	0	0									
21256	0	0					55	0	919					0			0	0	0	0	0									
21359	0	205					323	232	10373					163			0	4636	0	0	0									
21630	0	0					339	0	35603					1705			0	8487	0	0	0									
21658	0	4234					448	0	46043					0			0	8126	0	0	0									
22048	0	0					923	0	34480					14366			0	14499	0	0	499									
22543	0	0					139	0	5341					0			0	1505	798	0	0									
22552	0	0					745	850	5341					4000			850	2059	0	0	0									
22730	0	0					306	0	55259					0			0	14023	0	0	4045									
22936	0	0					141	0	21573					0			0	0	0	0	0									
23045	0	0					256	683	21527					2000			683	4564	0	0	0									
23456	0	0					405	0	26429					66			0	14448	0	0	0									
23504	0	0					14969	220233	637470					112842			64220	87097	0	0	26158									
23643	0	0					273	0	64331					0			0	23792	0	0	0									
23755	0	0					804	0	48048					0			0	17235	0	0	0									
24006	16013	7017					2354	267383	97205					27000			5765	0	0	0	0									
24378	0	0					433	500	9105					0			0	0	0	0	0									
24453	0	0					1869	0	8413					21034			0	0	0	0	0									
24659	1984	0					5	5466	0					0			2639	0	0	0	0									
24668	0	0					2758	0	151221					0			0	91555	0	0	1614									
24855	0	0					38	0	0					0			0	0	0	0	0									
24949	0	9300					2726	0	30350					0			0	5466	0	0	5283									
25357	0	0					3770	65015	36030					22600			0	250	0	0	0									
25647	0	0					0	575	216					0			575	216	0	0	0									
26176	0	0					2573	0	14796					77500			0	0	0	0	0									
26242	0	0					2950	0	80723					25000			0	37825	0	0	16520									
26457	0	503					0	0	4522					0			0	0	0	0	0									
26765	0	0					1590	715	70681					0			612	1819	0	0	0									
27070	0	0					3865	0	205896					0			0	46953	0	0	0									
27548	0	0					2294	0	134328					0			0	43333	2090	14955	0									
27614	0	0					1486	0	167899					30000			0	71701	1567	0	0									
27847	0	0					1655	1325	131853					16683			0	55937	0	0	0									
28013	0	0					22259	8613	579658					441556			0	0	289	0	94000									
28152	0	503					574	5906	12774					1082			3569	7971	0	0	0									
28255	4489	22364					649	33966	43877					7000			6791	9109	4	0	0									
28349	0	0					741	1179	4644					0			1179	0	0	0	0									
28406	646	0					13633	197632	237817					160000			0	16470	52859	0	0									
28675	0	0					400	0	49285					2000			0	3296	23	0	0									
28732	0	0					227	0	20715					0			0	5887	0	0	0									
29476	0	0					169	0	2438					4194			0	2341	97	0	0									
29636	0	0					1702	198841	249115					20055			0	88147	0	0	89570									
29878	107869	0					2178	118247	0					0			0	0	0	0	0									
30052	0	0					112	0	1844					196			0	0	0	0	0									
