"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RCONL191	RCONL192	RCONM288	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
28732																					CONF	CONF				
29476																					CONF	CONF				
29636	0	0	4663	0	4663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
29878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
30052																					CONF	CONF				
30502																					CONF	CONF				
30650																					CONF	CONF				
30810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
31134																					CONF	CONF				
31255																					CONF	CONF				
31657																					CONF	CONF				
31826																					CONF	CONF				
31835																					CONF	CONF				
32234																					CONF	CONF				
32766																					CONF	CONF				
32971																					CONF	CONF				
33147																					CONF	CONF				
33259																					CONF	CONF				
33268																					CONF	CONF				
33370																					CONF	CONF				
33839																					CONF	CONF				
33857																					CONF	CONF				
34425																					CONF	CONF				
34434																					CONF	CONF				
34452																					CONF	CONF				
34537	40930	0	0	0	40312	0	23114	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	1493	0	
34555																					CONF	CONF				
34742																					CONF	CONF				
35057																					CONF	CONF				
35301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
35570	13379	0	0	0	15004	0	5185	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	518	503	0	
35646																					CONF	CONF				
35879																					CONF	CONF				
36456																					CONF	CONF				
36933																					CONF	CONF				
37051																					CONF	CONF				
37341																					CONF	CONF				
37435	16153	0	0	0	13950	0	2854	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	593	0	
37640	27240	0	0	0	29005	0	6719	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	733	0	
37659																					CONF	CONF				
37949																					CONF	CONF				
38740																					CONF	CONF				
39327																					CONF	CONF				
39756																					CONF	CONF				
40033																					CONF	CONF				
40499	227164	53	46621	0	308792	130	57526	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	9748	0	
40855																					CONF	CONF				
41245																					CONF	CONF				
41553																					CONF	CONF				
41629																					CONF	CONF				
41825																					CONF	CONF				
41937																					CONF	CONF				
41955																					CONF	CONF				
42037																					CONF	CONF				
42354																					CONF	CONF				
42372																					CONF	CONF				
42420	47513	0	0	0	46755	0	13929	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	1656	0	
42448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
42457																					CONF	CONF				
43052																					CONF	CONF				
43351																					CONF	CONF				
43856																					CONF	CONF				
43959																					CONF	CONF				
44040																					CONF	CONF				
44433																					CONF	CONF				
44741																					CONF	CONF				
44750																					CONF	CONF				
44929																					CONF	CONF				
45038																					CONF	CONF				
45047																					CONF	CONF				
45056																					CONF	CONF				
45430																					CONF	CONF				
45458																					CONF	CONF				
45551																					CONF	CONF				
45560	23489	0	0	0	25166	0	4119	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	434	0	
45775																					CONF	CONF				
46053																					CONF	CONF				
46941																					CONF	CONF				
47247	59036	0	0	0	68181	0	8846	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	2532	0	
47256																					CONF	CONF				
47452																					CONF	CONF				
47500																					CONF	CONF				
48057																					CONF	CONF				
48150																					CONF	CONF				
48374	25131	6	0	0	25665	11	4140	0	0	0	0	0	0	0	0	0	32	0	0	0	CONF	CONF	0	799	0	
48440																					CONF	CONF				
49054																					CONF	CONF				
49148																					CONF	CONF				
49241																					CONF	CONF				
49652																					CONF	CONF				
49858																					CONF	CONF				
49951																					CONF	CONF				
50144																					CONF	CONF				
50461																					CONF	CONF				
50872																					CONF	CONF				
51253																					CONF	CONF				
51356																					CONF	CONF				
51459																					CONF	CONF				
51842																					CONF	CONF				
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
52951																					CONF	CONF				
53051																					CONF	CONF				
53752																					CONF	CONF				
54049																					CONF	CONF				
54058																					CONF	CONF				
54441																					CONF	CONF				
54656																					CONF	CONF				
54973	9230	0	0	0	8045	0	3689	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	72	580	0	
55336																					CONF	CONF				
55635																					CONF	CONF				
55653																					CONF	CONF				
55970																					CONF	CONF				
56258																					CONF	CONF				
56351	7012	0	0	0	7185	0	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	232	0	
56548																					CONF	CONF				
56557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	
56717																					CONF	CONF				
57040																					CONF	CONF				
57451																					CONF	CONF				
58207																					CONF	CONF				
58225																					CONF	CONF				
58243	171329	0	0	0	162899	0	36397	0	0	0	0	0	0	0	0	0	87	0	0	0	CONF	CONF	899	3852	0	
58355																					CONF	CONF				
58551																					CONF	CONF				
58636																					CONF	CONF				
58757																					CONF	CONF				
58971	55341	47	0	0	44718	46	21047	21	0	0	0	0	0	0	0	0	365	0	0	0	CONF	CONF	0	1212	0	
59316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	11	0	
59352																					CONF	CONF				
59370																					CONF	CONF				
59754																					CONF	CONF				
60143	16941	0	0	0	16075	0	3698	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	352	0	
60330																					CONF	CONF				
60545																					CONF	CONF				
60554																					CONF	CONF				
60648																					CONF	CONF				
61122	3135	0	0	0	3444	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	115	0	
61355																					CONF	CONF				
61476																					CONF	CONF				
61757																					CONF	CONF				
61832																					CONF	CONF				
61953																					CONF	CONF				
62044																					CONF	CONF				
62110																					CONF	CONF				
62147																					CONF	CONF				
62772																					CONF	CONF				
63050																					CONF	CONF				
63069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	-19	0	
63201																					CONF	CONF				
63573																					CONF	CONF				
63733																					CONF	CONF				
63742																					CONF	CONF				
