"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	
37																																				0	18915	19163	0	0	573	573	0	0.2202	0.4213	0.4087	0.0000	0.0000	0.0000	18590	573	325	0	0	0	0	0	0	0	0	0	0	0	0	18590	0	0	84405	0	84405	
242																																				0	4966	5063	0	0	190	190	0	0.1162	0.1232	0.1186	0.0000	0.0000	0.0000	4873	190	93	0	0	0	0	0	0	0	0	0	0	0	0	4873	0	0	41939	0	41939	
279																																				0	26728	27251	0	0	736	736	0	0.1549	0.2684	0.2611	0.0000	0.0000	0.0000	26515	736	209	0	0	0	0	0	0	0	4	0	0	0	0	26519	0	0	171206	0	171202	
354																																				0	871	1006	0	0	49	49	95	0.0992	0.2651	0.2522	0.0000	0.0000	0.0000	957	49	-181	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	9745	0	9650	
457																																				0	4428	4906	0	0	480	480	0	0.103112	0.127837	0.115329	0	0	0	4426	480	2	0	0	0	0	0	0	0	0	0	0	0	0	4426	0	0	42924	0	42924	
505																																				0	35648	38273	-1395	0	3344	3344	0	0.092446	0.150085	0.136972	0.000000	0.000000	0.000000	34929	3344	1122	0	0	0	0	0	0	978	14	0	0	0	0	34943	0	0	378825	0	377833	
1155																																				0	19396	21099	0	0	1895	1895	0	0.087958	0.139656	0.127113	0.000000	0.000000	0.000000	19204	1895	192	0	0	0	0	0	0	0	0	0	0	0	0	19204	0	0	218331	0	218331	
1351																																				0	23227	24612	0	0	1337	1337	0	0.1433	0.2301	0.2176	0.0000	0.0000	0.0000	23275	1337	-48	0	0	0	0	0	0	0	0	0	0	0	0	23275	0	0	162452	0	162452	
1454																																				10	66092	71299	0	0	2935	2945	0	0.099019	0.230413	0.220896	0.000000	0.000000	0.000000	68354	2945	-2262	0	0	0	0	0	0	0	0	0	0	0	0	68354	0	0	690311	0	690311	
1557																																				0	10213	10592	0	0	419	419	0	0.128950	0.201308	0.193344	0	0	0	10173	419	-374	0	0	0	0	0	0	414	0	0	0	0	0	10173	0	0	79305	0	78891	
1669																																				0	45800	46989	0	0	1540	1540	0	0.178203	0.385389	0.372759	0.000000	0.000000	0.000000	45449	1540	146	0	0	0	0	0	0	205	0	0	0	0	0	45449	0	0	255245	0	255040	
1829																																				133	45526	40035	0	0	3452	3585	0	0.0905	0.1345	0.1224	0.0000	0.0000	0.0000	36450	3585	904	0	0	0	0	0	0	8145	27	0	0	0	0	36477	0	0	410931	0	402759	
1856																																				0	15642	16826	0	0	735	735	0	0.1258	0.2875	0.2750	0.0000	0.0000	0.0000	16091	735	-547	0	0	0	0	0	0	98	0	0	0	0	0	16091	0	0	128011	0	127913	
2040																																				0	21466	22003	0	0	1610	1610	1111	0.1029	0.1748	0.1621	0.0000	0.0000	0.0000	20393	1610	-38	0	0	0	0	0	0	0	0	0	0	0	0	21504	0	0	199350	0	198239	
