"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					67	0	43732					0	0	0			0	30869	0	0	0												
242	0	1098					186	0	11762					4400	0	0			0	5488	12	0	500												
279	0	0					2151	34660	13572					28826	0	0			7781	900	0	0	0												
354	0	745					0	0	1395					0	0	0			0	0	0	0	0												
457	0	0					360	38	3					6500	0	0			38	0	3	0	0												
505	0	0					3497	0	73382					15880	0	0			0	18165	0	0	0												
1155	0	999					353	0	21818					0	0	0			0	10898		0	0										0		
1351	0	0					191	43901	8404					0	0	0			19641	0	0	0	0												
1454	0	33375					1211	0	400815					0	0	0			0	94661	75	0	0												
1669	0	15679					186	31626	59735					0	0	0			28624	0	0	0	0												
1856	0	0					1445	0	34717					30000	0	0			0	0	0	0	0												
2161	0	0					398	0	15360					0	0	0			0	11888	39	0	0												
2376	0	0					23007	321871	30578					444839	0	0			0	0		0	0										0		
2732	0	0					174	0	56954					0	0	0			0	26870	0	0	0												
2750	0	0					199	0	5821					1025	0	0			0	4496		0	0										9896		
3252	0	0					687	0	79689					6200	0	0			0	16452	0	0	0												
3458	0	0					250	4718	3497					941	0	0			4718	0		0	500										0		
3720	0	1500					270	1836	78618					0	0	0			1836	10388	0	0	2505												
3971	0	0					6338	0	48224					112747	0	0			0	0	1006	0	0												
4156	0	0					505	0	32031					8500	0	0			0	15612	0	0	1388												
4231	0	0					0	0	40281					0	0	0			0	16237	0	0	0												
5069	0	0					0	0	28496					0	0	0			0	11926	1006	0	0												
5135	0	500					1780	0	59646					31424	0	0			0	4193	0	0	0												
5210	0	0					3905	22443	184678					67878	0	0			0	7690		0	41509										1050		
5461	0	1009					3006	0	138016					0	0	0			0	63473		0	0										0		
5751	0	0					397	0	33690					0	0	0			0	19626	0	0	0												
6039	0	0					296	0	20771					0	0	0			0	2700	0	0	0												
6329	0	0					686	0	26068					0	0	0			0	6427	0	0	0												
7009	0	157912					0	0	273052					0	0	0			0	83261		0	0										17384		
7045	0	0					759	0	104102					0	0	0			0	47001	0	0	0												
7072	0	0					3091	824	21453					19752	0	0			0	1755		0	0										0		
7456	0	0					457	0	11583					0	0	0			0	10789	0	0	0												
7634	0	0					103	1	11430					0	0	0			0	5379	0	0	0												
8033	0	0					1749	0	5175					16136	0	0			0	3080		0	0										0		
8462	0	0					21	0	98211					0	0	0			0	17143	0	0	0												
8631	0	0					337	0	11963					0	0	0			0	319		0	0										0		
9357	0	0					4799	0	52260					0	0	0			0	0	990	0	0												
9553	0	0					2417	31858	22745					54467	0	0			31858	1341	0	0	0												
9807	0	230376					5584	0	448537					7359	0	0			0	203063		0	31520										1268		
9955	0	0					1104	0	39913					20442	0	0			0	31026	0	0	0												
10250	0	499					1036	0	128354					0	0	0			0	49276	0	0	0												
10849	0	0					727	0	93483					4400	0	0			0	8814		0	0										0		
11145	0	0					1350	0	18544					29019	0	0			0	6685	0	0	0												
11640	0	0					4831	0	100952					0	0	0			0	49660	0	0	0												
11837	0	0					100	0	37709					0	0	0			0	3974	0	0	0												
12030	0	7949					7415	2121	23561					0	0	0			1714	0	0	0	0												
12142	0	0					704	159	70205					0	0	0			155	27308		0	0										0		
12311								0	0						0	0																0	0	0	
12647	0	0					153	21318	0					0	0	0			19624	0	0	0	0												
12656	152	0					29	746	0					0	0	0			394	0	0	0	0												
12946	0	0					7094	0	226293					57829	0	0			0	123262		0	0										3471		
13103	0	0					3108	0	364721					27376	0	0			0	24935	174953	0	0												
13251	0	549					520	0	1887					0	0	0			0	1034	0	0	0												
13457	0	0					0	0	5721					0	0	0			0	4519	12	0	0												
14155	0	0					1018	0	13086					5000	0	0			0	11602	35	0	0												
14650	0	0					47	3752	0					0	0	0			2741	0	0	0	0												
14753	0	0					169	4475	5877					0	0	0			4070	4779	0	0	0												
14865	0	0					688	2347	21273					0	0	0			2347	925	0	0	0												
14977	0	0					211	0	0					2100	0	0			0	0	0	0	0												
16551	0	0					1386	19514	28909					3000	0	0			19514	24870		0	0										0		
16748	0	0					209	9043	10824					0	0	0			9043	0	0	0	0												
17110	100	0					219	100	43566					0	0	0			0	0	43566	0	0												
17147	0	0					28740	843021	1644316					354609	0	0			355263	796875		0	191603										0		
17259	0	0					260	740	8459					0	0	0			740	7287	0	0	0												
