"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								6796										
242								1537										
279								6309										
354								174										
457																		
505								44468	0		0	0	1267		0	196	43005	
1155								27437										
1351								3952										
1454								83446	5362		0	0	6839		0	922	70323	
1557								4370										
1669								23836										
1829								7152	2350		0	0	2062		0	2013	727	
1856								31253										
2040								9728										
2161								15548										
2376								9020	0		0	0	2937		0	1794	4289	
2554								4949										
2732								122891	2738		0	0	2959		0	10069	107125	
2750								2547										
3177								87619	1377		0	0	7616		0	1987	76639	
3252								4290										
3458								6715										
3720								32672										
3971								58640	648		0	0	5597		0	52350	45	
4156								9079										
4231								11725										
4437								13831										
4839								5809	704		0	0	1413		0	1978	1714	
5069								37674	1070		0	0	156		0	867	35581	
5135								75770	5292		0	0	3548		0	384	66546	
5210								18116	6137		0	0	7755		0	3845	379	
5461								33829	6575		0	0	7426		0	4641	15187	
5751								4924										
6039								16483										
6141								7015										
6329								39948	295		0	0	8195		0	6783	24675	
7009								8496	271		2000	0	11		0	6189	25	
7045								6863										
7072								3216										
7157								655										
7456								8511										
7634								10648										
8033								9486										
8462								22481										
8631								8786										
9357								68122	7174		0	0	439		0	960	59549	
9553								12563										
9807								95366	9158		0	0	5150		0	7789	73269	
9955																		
10250								31438	3658		0	0	1601		10429	0	15750	
10849								26905	93		0	0	1343		0	2599	22870	
10858								31604	8967		0	0	2535		0	11611	8491	
11145								7537										
11275								102511	8677		0	0	5295		0	5824	82715	
11640								27828	491		0	0	3450		0	6422	17465	
11837								10623										
12030								43181	3		0	0	4358		0	3776	35044	
12142								16084										
12179								5710										
12245								3408										
12311	947459	614641	0	3738	0	72787	256293	947459	271134	3738			343507	72787			256293	
12647								22846										
12656								667	0		0	0	285		0	374	8	
12937								31271										
12946								11077	3914		0	0	5124		0	1911	128	
12955								30241										
