"IDRSSD"	RCFDHU20	RCFDHU21	RCFDHU22	RCFDHU23	RCFDJ981	RCFDJF77	RCFDJF78	RCFDJF84	RCFDJF85	RCFDJF86	RCFDJF87	RCFDJF88	RCFDJF89	RCFDJF90	RCFDJF91	RCFDJF92	RCFDJF93	RCFDK009	RCFDK030	RCFDK033	RCONHU20	RCONHU21	RCONHU22	RCONHU23	RCONJ981	RCONJF77	RCONJF78	RCONJF84	RCONJF85	RCONJF86	RCONJF87	RCONJF88	RCONJF89	RCONJF90	RCONJF91	RCONJF92	RCONJF93	RCONK009	RCONK030	RCONK033	
	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	
34425																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34434																																									
34537																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34555																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34742																																									
35057																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35301	1058000	0	0	0	0	0	0	0	0	0	0	0	0	0	29000	931000	24000	0	0	0																					
35570																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35646																																									
35879																																									
36456																																									
36933																																									
37051																																									
37341																																									
37435																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37640																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37659																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37949																																									
38740																																									
39327																																									
39756																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40033																																									
40499																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40855																																									
41245																																									
41553																																									
41629																																									
41825																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41937																																									
41955																																									
42037																																									
42354																																									
42372																																									
42420																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42448																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42457																																									
43052																																									
43351																																									
43856																																									
43959																																									
44040																																									
44433																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44741																																									
44750																																									
44929																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45038																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45047																																									
45056																																									
45430																																									
45458																																									
45551																																									
45560																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45775																																									
46053																																									
46941																																									
47247																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47256																																									
47452																																									
47500																																									
48057																																									
48150																																									
48374																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48440																																									
49054																																									
49148																																									
49241																																									
49652																																									
49858																																									
49951																																									
50144																																									
50461																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50872																																									
51253																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51356																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51459																																									
51842																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52719																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																																									
53051																																									
53752																																									
54058																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54656																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54973																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55336																																									
55635																																									
55653																																									
55970																																									
56258																																									
56351																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56548																																									
56717																																									
57040																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57451																																									
58225																																									
58243																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58355																																									
58551																																									
58636																																									
58757																																									
58971																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59316																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59352																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59370																																									
59754																																									
60143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
60330																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60545																																									
60554																																									
60648																																									
61122																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61355																																									
61476																																									
61757																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61832																																									
61953																																									
62044																																									
62110																																									
62147																																									
62772																																									
63050																																									
63069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
63201																																									
63573																																									
63733																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63742																																									
63751																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64150																																									
64552																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64730																																									
65205																																									
65513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
65559																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65746																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65858																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
66154																																									
66275																																									
66677																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67142																																									
67151																																									
67209																																									
67254																																									
