"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							8738	1162	46505	0	0	266	0	716	80970	63416	280	63696	0	974	0	0	17274	1200	80970	0	0	11273	0	0	3500	0	17927	45489			0	24557	23583	1301	0	0	0	0	17274		0	
242																																							2915	989	12291	0	0	348	0	451	47217	37446	28	41894	0	161	4420	0	5323	120	47217	0	0	4818	0	0	120	0	9447	27999			0	24580	24419	265	5801	0	0	0	5323	3	0	
279																																							20927	6346	9832	0	740	6456	209	8946	285848	221705	1476	254073	0	1242	30892	0	31775	1	285848	0	0	31544	0	0	0	0	32662	189043			0	196913	195671	230	2513	0	0	0	31775	0	34208	
354																																							705	399	650	0	0	84	0	187	16349	14667	95	14762	0	168	0	0	1587	100	16349	0	0	547	0	0	936	1640	7076	7591			0	8838	8670	4	4014	0	0	0	1587		0	
457																																							8724	597	0	0	0	290	86	1681	58348	43984	193	53677	0	566	9500	0	4671	60	58348	0	0	671	0	0	3940	0	9027	34957			0	46352	45786	0	1147	0	0	0	4671	6	31	
505																																							36306	5804	69063	0	1805	10094	0	14961	638536	560968	7498	584346	58	6660	15880	0	54132	6480	638536	0	0	31833	0	0	18403	0	157956	403012			0	505613	498953	-2584	1550	0	0	0	54190	0	0	
1155																																							15233	9353	23862	0	0	4000	124	7883	269271	241231	2108	243339	0	4000	0	0	25932	1600	269271	0	0	18861	0	0	4900	754	28768	212463			0	205066	201066	571	6996	0	0	0	25932	0	0	
1351																																							16743	5978	5797	0	0	4900	606	2259	183517	155754	687	156441	0	1236	0	0	27076	240	183517	0	0	26234	0	0	530	0	23840	131914			0	108220	106984	72	0	0	0	0	27076	0	40250	
1454																																							188277	12299	324133	0	0	4378	0	14781	875825	765722	3467	769189	0	4341	0	0	106636	1000	875825	0	0	97144	0	0	1214	2140	272275	493447			0	334102	329761	7278	0	0	0	0	106636	56	0	
1669																																							30897	7189	53454	0	0	4125	5	14033	324147	273071	250	273321	0	3105	0	0	50826	800	324147	0	0	48057	0	0	800	0	67756	205315			0	189207	186102	1169	0	0	0	0	50826	0	28342	
1856																																							12035	693	36224	0	98	439	0	2771	94308	47147	122	82569	0	265	35300	0	11739	500	94308	0	0	329	0	0	13732	0	4285	42862			-3000	39500	39235	178	2813	0	0	0	11739	0	0	
2161																																							43588	5849	21426	0	0	7520	182	6688	262394	194582	3794	239754	0	1844	41378	0	22640	1000	262394	0	0	15105	0	0	6208	0	58765	135817			-254	171499	169655	581	7486	0	0	0	22640	0	0	
2732																																							180021	14983	44404	0	1112	3170	0	4088	672054	567450	2505	569955	0	5035	0	0	102099	0	672054	0	0	95572	0	0	5789	0	151464	415986			0	429311	424276	738	0	0	0	0	102099	0	0	
2750																																							1502	657	5530	0	0	251	0	2790	62194	53566	476	54614	0	544	572	0	7579	113	62193	0	0	486	0	0	6900	0	4985	48581			0	44070	43526	80	1009	0	0	0	7579	6929	0	
3252																																							7738	7339	98068	0	0	476	538	4607	230534	194918	302	200920	0	4200	5700	0	29614	200	230534	0	0	27957	0	0	300	0	36316	158602			0	110968	106768	1157	5000	0	0	0	29614	0	0	
3458																																							3177	908	6061	0	0	1065	0	1796	61504	49990	254	56158	0	533	5414	0	5347	100	61505	0	0	4071	0	0	1101	0	6377	43613			0	44744	44211	75	0	0	0	500	5347	0	4286	
3720																																							49348	5581	74999	0	0	3555	611	10940	308018	262133	2463	266863	0	1725	0	0	41155	2400	308018	0	0	21508	0	0	18600	0	69267	192866			-3200	162909	161184	1847	0	0	0	2267	41155	0	1800	
3971																																							94447	4786	33578	1258	8267	7100	1058	28222	831908	602938	7857	725703	0	6021	114908	0	106205	2	831908	0	0	4500	0	0	100923	0	164040	438898			0	656771	650750	780	1417	0	0	0	106205	1025	0	
4156																																							8154	7219	36900	0	1783	6302	33	8609	264950	218418	607	239689	0	2485	12750	0	25261	1200	264950	0	0	16391	0	0	6657	69	54467	163951			0	174566	172081	1013	23695	0	0	7914	25261	105	0	
4231																																							30412	2504	47017	0	0	974	878	676	128348	108757	647	109404	0	748	0	0	18944	500	128348	0	0	5283	0	0	12100	0	33132	75626			0	46635	45887	1061	0	0	0	0	18944		0	
5069																																							117578	607	15092	0	0	38134	0	6671	418112	217538	8059	225597	0	7158	0	0	192515	4500	418112	0	0	182361	0	0	4129	0	24889	192649			0	246163	239005	1525	0	0	0	0	192515	1025	0	
5135																																							56651	10826	81518	0	1042	6728	1905	16213	549183	434737	3217	469338	0	4854	31384	0	79845	651	549183	0	0	54743	0	0	24391	0	87137	347600			0	379154	374300	60	0	0	0	0	79845	0	0	
5210																																							206312	25919	257603	1943	40267	36207	789	92398	2398495	2040840	20730	2151702	0	18353	56169	0	246793	4798	2398495	0	0	135275	0	0	108340	5848	94448	1946392			0	1733563	1715210	-1620	0	0	0	33963	246793	1070	14929	
5461																																							84829	17605	142176	0	88	12345	0	16589	787962	673454	7420	710874	0	6299	30000	0	77088	2059	787962	0	0	66009	0	0	4241	0	277949	395505			0	520629	514330	4779	0	0	0	0	77088	0	0	
5751																																							924	4471	50091	0	1162	2288	43	6303	240459	199926	1767	201693	0	2421	0	0	38766	600	240459	0	0	28145	0	0	8752	1084	33379	166547			0	162403	159982	1269	13968	0	0	0	38766	143	0	
6039																																							52488	6134	25553	752	0	6598	367	3947	337608	302395	2480	304875	0	3719	0	0	32733	469	337608	0	0	1445	0	0	30568	0	104204	198191			0	234138	230419	251	11350	0	0	0	32733	0	0	
6329																																							138563	32775	51638	0	0	29141	867	23344	1117594	1013020	11004	1029024	0	14654	5000	0	88570	2600	1117594	0	0	47831	0	0	37400	6096	346764	666256			0	849822	835168	739	2	0	0	0	88570	0	0	
7009																																							264684	778	320595	0	0	2481	0	9373	962188	866628	6609	873237	0	0	0	0	88951	500	962188	0	0	85955	0	0	552	0	287995	578633			0	342357	342357	1944	0	0	0	0	88951	21920	0	
7045																																							18745	6430	120252	0	0	1850	0	2577	235525	208148	1631	209779	0	1075	0	0	25746	100	235525	0	0	20351	0	0	2325	0	34262	173886			0	86746	85671	2970	0	0	0	0	25746		0	
7072																																							214	5719	17981	0	5440	10435	0	14318	355124	294554	4715	316101	0	2668	16832	0	39023	0	355124	0	0	34983	0	0	4060	7742	56330	238224			0	267857	265189	-20	17347	0	0	0	39023	0	10739	
7456																																							3229	2565	20535	0	0	855	0	3945	111855	101524	231	101755	0	885	0	0	10100	400	111855	0	0	2719	0	0	6600	0	23257	78267			0	73273	72388	381	8338	0	0	0	10100	0	0	
7634																																							10684	672	11016	0	0	471	248	764	76402	65335	218	65553	0	1209	0	0	10849	200	76402	0	0	2243	0	0	8060	0	14023	51312			0	53756	52547	346	0	0	0	0	10849	0	0	
8033																																							15852	3542	5382	0	0	6008	720	6122	327591	265345	4810	282291	0	1703	12136	0	45300	774	327591	0	0	37235	0	0	7226	0	66816	198529			0	280436	278733	65	11232	0	0	0	45300		0	
