"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								10928										
242								4031										
279								6581										
354								897										
457								1811										
505								50074	0		0	0	964		0	572	48538	
1155								47907										
1351								5610										
1454								86465	6744		0	0	7043		0	1608	71070	
1557								6782										
1669								42398										
1829								44291	1858		0	0	1920		0	8224	32289	
1856								40711										
2040								9197										
2161								15451										
2376								8673	0		0	0	2198		0	1799	4676	
2554								4607										
2732								128266	2081		0	0	2606		0	9387	114192	
2750								2326										
3177								153580	572		0	0	6650		0	930	145428	
3252								8000										
3458								8685										
3720								29961										
3971								84281	83		0	0	4349		0	79808	41	
4156								6959										
4231								10911										
4437								18173										
4839								6318	821		0	0	1627		0	2957	913	
5005								13902	2321		0	0	1352		0	810	9419	
5069								70018	381		0	0	153		0	1196	68288	
5135								64058	0		0	0	3626		0	3525	56907	
5210								46289	6141		0	0	5048		0	3191	31909	
5461								39543	10198		0	0	5535		0	4754	19056	
5751								4549										
6039								22288										
6141								7479										
6329								59593	165		0	0	6956		0	7895	44577	
7009								8776	255		2000	0	15		0	6481	25	
7045								13010										
7072								3698										
7157								663										
7456								8230										
7634								15627										
8033								8986										
8462								30960										
8631								10995										
9357								42427	6236		0	0	328		0	1069	34794	
9553								8962										
9807								130903	5093		0	0	4666		0	11062	110082	
9955								24548										
10250								35871	3369		0	0	1432		9870	0	21200	
10849								32529	92		0	0	1034		0	3730	27673	
10858								65463	7108		0	0	2192		0	36314	19849	
11145								21689										
11275								67348	11277		0	0	5112		0	4360	46599	
11640								52251	339		0	0	2765		0	9743	39404	
11837								4076										
12030								40594	1		0	0	3251		0	3543	33799	
12142								24125										
12179								4515										
12245								3632										
12311	854990	451102	0	11701	0	114951	277236	854990	216166	11701			234936	114951			277236	
12647								24250										
12656								591	0		0	0	232		0	351	8	
12937								43409										
12946								10100	3522		0	0	4425		0	2051	102	
12955								31251										
13103								18822	0		0	0	2235		0	10139	6448	
13251								17274										
13457								6770										
14052								10214										
14155								3697										
14650								5547										
14753								7392										
14865								34618										
14977								11581										
16458								24364										
16551								10244										
16748								11119										
16944								7495										
16953								8276										
17110								18451										
17147								108858	0		0	0	17983		0	90875	0	
17259								6109	0		0	0	646		0	5463	0	
17464								144673	16346		0	0	8302		0	8218	111807	
17950								10760	0		0	0	1947		0	4751	4062	
17978								10860	1118		0	0	2431		0	7311	0	
18050								17370	1555		0	0	3849		0	1676	10290	
18135								3922										
18377								19519										
18827								59567	992		0	0	2543		0	7783	48249	
18836								9225										
18854								44707										
19356								2774										
19730								315153	4446		0	0	17114		0	9382	284211	
19936								72991										
19972								34365										
20053								3003										
20512								2553										
20633								11657	1525		0	0	3079		0	7039	14	
20857								12098										
21256								3116										
21359								5314										
21630								1823										
21658								9807										
22048								11454										
22543								15160										
22552								1322										
22730								12710										
22936								42298	0		0	0	1770		0	572	39956	
23045								4490										
23456								2461										
23504								25411	11194		0	0	4924		0	4505	4788	
23540								30199										
23643								12869										
23755								3357										
24006								127275	3687		0	0	3241		0	2187	118160	
24378								9805										
24453								42716	594		0	0	591		0	3653	37878	
24659								7969										
24668								27779										
24855								11025										
24949								113817	0		0	0	6071		0	3326	104420	
25357								9645										
25647								19180										
26176								13465	991		0	0	597		0	5199	6678	
26242								10448	0		0	0	2380		0	2121	5947	
26457								5179										
26765								29043										
26859								79963	0		0	0	3216		0	73904	2843	
27070								16471	0		0	0	642		0	15829	0	
27548								9763	10		0	0	6258		0	2730	765	
27614								21736	1692		0	0	2273		0	2488	15283	
27847								20196	173		0	0	3449		0	5049	11525	
28013								65919	0		0	0	10754		0	34641	20524	
28152								25031										
28255								175582	2222		0	0	2115		0	22364	148881	
28349								28545										
28406								40105	1455		0	0	2218		0	23340	13092	
28572								5662										
28675								7940										
28732								7903										
29104								116755	0		0	0	3292		0	98956	14507	
29476								5167	0		0	0	310		0	4857	0	
29636								87615	210		0	0	8214		0	79191	0	
29878								89809	0		0	0	3061		0	17714	69034	
29953								5733										
30052								7929										
30418								2168	0		0	0	0		0	2061	107	
30502								19524	5226		0	349	3691		0	6488	3770	
30650																		
30810								7916940	624957		78373	0	325		50015	353958	6809312	
30874								8116	5413		0	0	2244		0	172	287	
31134								39377										
31255								14068	2513		0	0	1416		0	1013	9126	
31657								2356										
31826								47034										
31835								3417										
32234								42322										
32766								14965										
32971								22641										
33147								49609	853		0	0	1966		0	509	46281	
33259								61118	0		0	0	1421		0	5551	54146	
33268								13085	848		0	0	1115		0	552	10570	
33370								6198										
33754								5863										
33839								12397	0		0	0	176		0	12221	0	
33857								11469										
34153								56578	2467		0	0	3550		0	1714	48847	
34359								2827										
34425								37850	0		0	0	1759		0	7358	28733	
34434								11009										
34452								12224										
34537								227050	1		0	0	8746		0	7338	210965	
34555								12372										
34742								8451	7		0	0	1753		0	2589	4102	
34836								1717										
35057								10115	0		0	0	1121		8994	0	0	
35301	43230758	356134	190573	18158029	0	77776	24448246	24527758	1736	0			0	77776			24448246	
35570								88540	39588		0	83	21604		0	14572	12693	
35646								9844										
35842								6259										
35879								8131										
