"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37																		
242																		
279																		
354																		
457																		
505								24335	0		0	0	1155		0	198	22982	
1155																		
1351																		
1454								196904	5676		0	0	5408		0	1145	184675	
1557																		
1669																		
1829								8075	2332		0	0	1599		0	1706	2438	
1856																		
2040																		
2161																		
2376								15120	0		0	0	2933		0	8448	3739	
2554																		
2732								112203	0		0	0	2726		0	7152	102325	
2750																		
3177								63853	25		0	0	7992		0	940	54896	
3252																		
3458																		
3720																		
3971								29051	1299		0	0	4667		0	12545	10540	
4156																		
4231																		
4437																		
4839								20097	1427		0	0	1665		0	12522	4483	
5069								29979	296		0	0	229		0	753	28701	
5135								51870	2429		0	0	4329		0	481	44631	
5210								27997	6628		0	0	6357		0	4383	10629	
5461								27725	7482		0	0	5761		0	4879	9603	
5751																		
6039																		
6141																		
6329								49882	8		0	0	8830		0	6725	34319	
7009								10314	65		2000	0	15		0	8209	25	
7045																		
7072																		
7157																		
7456																		
7634																		
8033																		
8462																		
8631																		
9357								8263	5884		0	0	238		0	1032	1109	
9553																		
9807								165039	7032		0	0	5199		0	9993	142815	
9955																		
10250								20000	3937		0	0	1396		14667	0	0	
10849								20649	91		0	0	1437		0	8085	11036	
11145																		
11275								93918	9658		0	0	5445		0	2962	75853	
11640								19897	549		0	0	3086		0	7327	8935	
11837																		
12030								47661	1		0	0	4862		0	12921	29877	
12142																		
12179																		
12311	1196406	826669	0	1749	0	105800	262188	1196406	487958	1749			338711	105800			262188	
12647																		
12656								622	98		0	0	228		0	291	5	
12937																		
12946								23399	14540		0	0	6943		0	1703	213	
12955																		
13103								22491	0		0	0	3069		0	15689	3733	
13251																		
13457																		
14052																		
14155																		
14650																		
14753																		
14865								14119	2433		0	0	2909		0	7423	1354	
14977																		
16551								4312	0		0	0	2976		0	1336	0	
16748																		
16953																		
17110																		
17147								127089	0		0	0	46006		0	71903	9180	
17259								5982	0		0	0	785		0	5197	0	
17464								79511	23727		0	0	19687		0	3043	33054	
17950								13465	1		0	0	2578		0	7942	2944	
17978								10660	1058		0	0	2478		0	7124	0	
18050								18250	3873		0	0	3368		0	3297	7712	
18135																		
18377																		
18827								105051	10467		0	0	10558		0	37555	46471	
18836																		
18854								81075	7712		0	0	2282		0	25685	45396	
19356																		
19730								233794	30584		0	0	17330		0	11748	174132	
19936																		
19972																		
20053																		
20512																		
20633								7051	780		0	0	2852		0	3373	46	
20857																		
21256																		
21359																		
21630																		
21658																		
22048																		
22543																		
22552																		
22730																		
22936								30737	0		0	0	1798		0	417	28522	
23045																		
23456																		
23504								76195	25825		0	0	26964		0	6694	16712	
23643																		
23755																		
24006								73367	3827		0	0	3491		0	3897	62152	
24378																		
24453								42686	1004		0	0	1011		0	1072	39599	
24659																		
24668								71016	4827		0	0	4374		0	30599	31216	
24855																		
24949								97455	0		0	0	4835		0	4856	87764	
25357								9566	173		0	0	2876		0	5525	992	
25647																		
26176								5396	111		0	0	760		0	2152	2373	
26242								8844	0		0	0	2913		0	4704	1227	
26457																		
26765								49805	3222		0	0	1853		0	19927	24803	
27070								23240	0		0	0	1058		0	19228	2954	
27548								16990	79		0	0	10038		0	6202	671	
27614								6873	2064		0	0	2834		0	581	1394	
27847								21934	298		0	0	3012		0	5709	12915	
28013								72986	0		0	0	11296		0	14667	47023	
28152																		
28255								24065	2628		0	0	2024		0	12580	6833	
28349																		
28406								37268	5870		0	0	3545		0	773	27080	
28675																		
28732																		
29476								621	0		0	0	489		0	132	0	
29636								29927	802		0	0	7471		0	21654	0	
29878								25716	0		0	0	2495		0	9119	14102	
30052																		
30418								370252	0		0	0	0		0	16	370236	
30502								51482	11108		0	119	5378		0	1107	33770	
30650																		
30810								10722694	302840		21224	0	455		425263	401616	9571296	
30874								7284	2579		0	0	3454		0	297	954	
31134																		
31255								24642	4231		0	0	1123		0	825	18463	
31657																		
31826																		
31835																		
32234																		
32766																		
32971																		
33147								12138	1572		0	0	2835		0	649	7082	
33259								68584	0		0	0	1863		0	5273	61448	
33268								2963	815		0	0	1029		0	408	711	
33370																		
33839								10283	0		0	0	205		0	10078	0	
33857																		
34425								23095	0		0	0	2280		0	6209	14606	
34434								10534	2315		0	0	3030		0	2946	2243	
34452																		
34537								94746	24005		0	0	15662		0	45922	9157	
34555																		
34742								16351	0		0	0	1579		0	10776	3996	
34836																		
35057								15751	0		0	0	918		3395	0	11438	
35301	118884069	418711	165084	32644812	0	807653	84847809	85727892	72430	0			0	807653			84847809	
35570								144768	76192		0	164	34024		0	15561	18827	
35646																		
35842																		
35879																		
36456																		
36933																		
37051																		
37341																		
37435								113142	2		0	0	14081		0	28149	70910	
37640								49817	0		0	0	7465		0	41637	715	
37659																		
37743																		
37949																		
38740																		
39327								65748	4585		0	0	6792		0	24107	30264	
39420								33101	5945		0	0	10903		0	15920	333	
39475								100466	38175		0	0	30474		0	9645	22172	
39756								87715	13409		0	0	2508		0	7178	64620	
40033																		
40350																		
40499								82763	4909		0	0	6323		0	236	71295	
40855																		
41245																		
41553																		
41629																		
41825																		
41937																		
41955																		
42037																		
42055																		
42354																		
42372								25653	0		0	0	869		5852	0	18932	
42420								66913	24431		0	0	38136		0	1446	2900	
42448								59741	250		0	0	6927		0	108	52456	
42457																		
43052																		
43351								1611	0		0	0	419		0	1192	0	
43744																		
43856																		
43959																		
44040								7256	0		0	0	1432		0	4760	1064	
44433								8270	0		0	0	864		0	4156	3250	
44741								6813	0		0	0	2554		0	886	3373	
44750																		
44929																		
45038																		
45047																		
45056																		
45430																		
45458																		
45551								12799	42		0	0	3160		0	7597	2000	
45560								50456	13613		0	0	3849		0	19843	13151	
45775																		
46053																		
46941																		
47247																		
47256																		
47452																		
47500								4799	1706		0	0	699		0	1838	556	
48057																		
48150																		
48374								14816	2642		0	0	7348		0	660	4166	
48440																		
49054																		
49148																		
49241								29980	203		0	0	5008		0	5420	19349	
49344																		
49643																		
49652																		
49821								32508	13161		0	0	7093		0	1912	10342	
49858																		
49951																		
50144																		
50461																		
50546																		
50854																		
50872																		
50957																		
51253								19614	213		0	0	1958		0	17443	0	
51356																		
51459																		
51842																		
52719								3362108	0		0	26	0		367301	0	2994781	
52951																		
53033								307425	27078		0	725	5186		113836	18464	142136	
53051																		
53752																		
54049																		
54058								2986	1685		0	0	1165		0	136	0	
54375								40887	0		0	0	9160		0	27908	3819	
54441																		
54656								13969	0		0	0	3080		0	6827	4062	
54973								269002	37262		0	0	60134		0	9641	161965	
55336								21141	2488		0	0	5542		0	791	12320	
55635																		
55653																		
55970								72703	2260		0	0	2108		0	3759	64576	
56258																		
56351								63744	10020		0	0	27047		0	2429	24248	
56427																		
56548								13980	2083		0	0	831		0	10639	427	
56557								88390	54140		0	4520	4361		0	6363	19006	
56717								10219	3764		0	0	1696		0	1567	3192	
57040																		
57228																		
57451								18096	0		0	0	2340		490	9406	5860	
58177																		
58207																		
58225																		
58243								134429	41532		0	1236	15760		0	5459	70442	
58355																		
58551																		
58636																		
58757																		
58971								294957	63005		0	0	18162		0	714	213076	
59316								20442	3601		0	0	4221		0	678	11942	
59352								18193	1427		0	0	2391		0	11394	2981	
59370								21297	918		0	0	1514		0	3185	15680	
59754																		
60143	5982364	1088416	0	182242	0	82196	4629510	5822322	744539	22200			343877	82196			4629510	
60330								42392	0		0	0	7919		0	10291	24182	
60545																		
60554																		
60648																		
61122								57054	5934		0	0	5517		0	15591	30012	
61177																		
61355								11616	5627		0	0	3229		0	2459	301	
61476																		
61757																		
61832																		
61953																		
62044																		
62110																		
62147																		
62772								8648	2		0	0	3054		0	2570	3022	
63050																		
63069	1136269	395415	3244	4083	93173	50998	589356	1136269	337506	7327			57909	144171			589356	
63201																		
63573								5619	1040		0	0	406		0	2298	1875	
63733								34941	483		0	0	8207		0	20414	5837	
63742																		
63751																		
64150																		
64543								16251	3		0	0	4009		0	11021	1218	
64552																		
64730																		
65205								94537	1223		0	0	1668		0	19545	72101	
65241																		
65513	215467	540	0	4528	361	6481	203557	215467	0	4528			540	6842			203557	
65559								29648	2409		0	0	3267		0	263	23709	
65746								36639	2		0	0	3885		0	32752	0	
65858								30719	12631		0	0	17086		0	851	151	
66154																		
66275																		
66677																		
67142																		
67151								38998	4419		0	0	1736		0	28989	3854	
67209								26238	2028		0	0	1953		496	9366	12395	
67254																		
67311								582664	187665		0	1015	144830		2877	131535	114742	
67656								35357	2647		0	0	2959		0	4529	25222	
67870																		
68345																		
68448																		
68671																		
68756								22912	7667		0	0	3394		0	2175	9676	
68831																		
68840																		
68859								41853	3602		0	0	3926		0	5601	28724	
68943																		
69333								26977	6000		0	0	8449		0	7268	5260	
69678								48339	27		0	0	3418		0	27377	17517	
70058																		
70218																		
70414								9224	0		0	0	1903		0	4729	2592	
70638																		
70955																		
71073																		
71318								27548	6945		0	0	2356		0	8408	9839	
71457								8765	0		0	0	1215		0	3112	4438	
71859																		
72258								39708	0		0	0	1618		0	376	37714	
72351																		
72454																		
72678								6593	2		0	0	1575		0	5016	0	
73116								12948	1578		0	0	2045		0	622	8703	
73152																		
73554																		
73956																		
74056																		
74140								29938	8805		0	0	8121		0	4811	8201	
74159																		
74403								15254	6919		0	0	3054		0	1101	4180	
74449																		
75053								13018	0		0	0	2043		0	599	10376	
75259								29338	0		0	0	440		0	28898	0	
75446								7692	1194		0	0	1639		0	4859	0	
75455																		
75558								15934	803		0	0	5764		0	4953	4414	
75633	17579692	1268820	0	1974862	0	52182	14283828	17579692	945188	1974862			323632	52182			14283828	
75651																		
76153																		
76443																		
76854																		
77150																		
77253																		
77422																		
77851								35599	16062		0	0	2360		0	9371	7806	
78157																		
78241																		
78559																		
78858								29352	5491		0	0	1351		0	1720	20790	
79042																		
79127																		
79145																		
79257																		
79855																		
80020																		
80150								11320	0		0	0	1654		9027	0	639	
80374																		
80431																		
80552																		
80936																		
81175																		
81429																		
82033																		
82257																		
82350																		
82659																		
83151																		
83236																		
83375								24235	8831		0	0	2944		0	290	12170	
83638	206169	15174	0	646	0	36403	153946	206169	9684	646			5490	36403			153946	
83834																		
83852																		
83955																		
84046																		
84251																		
84541								34718	0		0	0	8360		0	14079	12279	
84804																		
85052																		
85258																		
85454																		
85472								41180	20107		0	0	7152		0	4086	9835	
85931																		
86349																		
86358																		
86554																		
86675								55541	1		0	0	1976		0	9187	44377	
87047																		
87159																		
87177																		
87234								16422	0		0	0	2298		0	2041	12083	
87476																		
87579								20192	0		0	0	2396		0	10696	7100	
88231								29144	1289		0	0	2383		0	6540	18932	
88240								2531	0		0	0	400		0	2131	0	
88259																		
88352																		
88455								9393	2342		0	0	2839		0	1212	3000	
88530																		
88772								17592	0		0	0	1920		0	10078	5594	
88950																		
89032																		
89135																		
89751								13789	6431		0	0	3906		0	1533	1919	
89854																		
89957																		
90047																		
90177																		
90328								8052	0		0	0	3658		1436	0	2958	
90337								59193	3		0	0	6148		0	5006	48036	
90579								27641	1615		0	0	1935		0	664	23427	
90645																		
91101								64993	17662		0	0	5540		0	9660	32131	
91156																		
91615																		
91651																		
91754								6099	0		0	0	1504		0	128	4467	
91950																		
92050																		
92144																		
92676								17454	2826		0	0	1423		0	2269	10936	
92706																		
92902																		
93244																		
93543																		
93619																		
