"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
444556	15023	0	6623	22314	0	46699	0	0	96	2517	0	126555	0	27103		31778	33024	8181	25695	96	8788	17105	5482	403	16725	24647	4994	364	40076	99452	0	0	2191	2421	36908	9822	2000	0	23804	9822	1389	
444677	3929	0	0	0	0	0	0	0	0	0	0	31788	0	66		16609	0	2422	13372	0	3931	9441	3003	234	2180	6783	2287	0	0	31722	0	0	343	0	11250	0	0	0	8963	0	0	
444958	18691	3	3368	14026	0	25097	0	0	0	0	0	42446	0	1801		19360	0	7447	10596	0	3011	7585	5904	2859	869	2247	927	354	21590	40630	136	15	1615	0	3761	636	0	0	2481	635	0	
445852	8023	0	1257	15037	0	24813	0	0	840	4431	0	32197	0	4262		11683	3445	2127	7054	564	3446	5106	1600	1532	2631	3639	2775	0	23556	27935	0	0	630	3591	8727	318	2771	0	4673	968	0	
445955	28001	0	11419	31771	0	66292	0	0	0	0	0	100614	0	8186		27664	7365	8572	21618	0	7444	14174	5339	707	8531	21463	5641	1950	54873	92428	0	0	3113	0	23249	14336	0	0	16209	13785	0	
446130	5165	0	19769	11813	0	50435	0	0	0	0	0	43538	0	6350		16600	780	5394	14085	0	4259	9826	2385	130	10953	8166	1385	488	30666	37188	0	0	1466	0	9045	11947	0	0	7172	11947	0	
446149	2429	0	1954	3820	0	10552	0	0	0	0	0	18719	0	0		8151	1677	2367	3565	0	1461	2218	2717	1753	886	2646	902	2028	8598	18719	0	0	650	0	6205	257	0	0	3163	257	0	
446877	14568	0	18015	18596	0	48857	0	0	67	6008	0	162490	0	6396		48407	36181	16191	40119	67	12949	27170	7801	487	19148	37815	5783	588	30842	156094	0	0	7967	5941	56737	6597	889	1361	51041	5922	32448	
447034	6349	0	4668	9585	0	30022	0	0	0	0	0	112413	0	2413		55984	13396	22837	38115	0	10132	27983	17869	0	5474	17645	13565	0	25354	110000	0	0	9343	0	29128	7556	0	0	19193	3926	0	
447070	64637	0	10	5532	0	18771	0	0	0	0	0	224135	0	0		90951	26465	30265	73919	0	16074	57846	12727	4304	4872	29972	4159	3079	18761	224135	0	0	7272	0	37774	4308	0	0	31672	3172	0	
447100	46589	11	0	11084	0	53396	0	0	0	0	0	254361	0	1360		70785	78437	27701	56831	0	17611	39220	13954	0	9962	30297	18089	202	53378	242210	7	10791	9549	0	36485	22065	0	0	24735	15524	4323	
447342	11255	0	4452	6091	0	17737	0	0	0	0	0	44005	0	2967		19197	4104	4257	9299	0	5401	6496	5828	1471	2480	3206	3089	674	13285	41038	0	0	1645	0	6233	3216	0	0	2784	1257	0	
447557	6409	0	355	13492	0	20384	0	0	0	19676	0	68623	0	2938		8634	18846	3824	4833	0	1993	2840	2187	1612	5542	7456	11414	10322	20029	65685	0	0	1094	0	10639	24095	1062	4115	4344	8653	0	
447874	66618	0	831	13855	0	16868	0	0	6996	6996	0	192365	0	1680		27263	60384	6472	21656	6996	3359	18297	4363	1244	7929	16521	10784	2866	16037	190685	0	0	2642	0	24415	13685	0	0	17363	7087	0	
448040	103680	3	9078	31863	0	40338	0	0	0	0	0	220557	0	13187		69904	16901	26678	41469	0	15320	26159	14139	14286	6184	14399	2669	6820	31257	207370	0	0	7081	0	27189	2883	0	0	18012	2570	0	
448554	27225	0	12310	47410	0	74988	0	0	0	0	0	168886	0	4430		45828	19242	10106	43305	0	12584	30721	2140	383	32503	42170	1702	215	62678	164456	0	0	3338	0	45477	31113	0	0	34618	27610	0	
449038	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
449430	3440	22	5777	10797	0	17159	0	0	21019	25934	0	163106	230	8511		62147	14853	5885	46354	15312	11265	35089	14109	1684	15748	40728	16779	9411	11360	154365	0	0	1329	4915	72446	10220	3230	0	47031	9445	41546	
