"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
761543			3041	761	6	0	2274	0	0																				
761806	0		358522	116088	4005	11242	209096	16993	57568			0		0	0	-88	397	0	309	0	0	0	0	0	0	0	0	0	
761833			545	0	7	0	546	8	0				0																
761851			3947	600	26	0	3713	392	0																				
761954			980	90	5	0	898	13	0																				
762045			2110	130	4	0	2002	26	0																				
762447		65	38381	11617	567	0	26911	2386	1672					0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	
762474			24537	5851	80	0	19206	600	0																				
762773			3063	70	0	0	2993	0	0																				
763211			1224	105	51	0	1114	46	0																				
763677			10676	1400	188	0	9226	138	0																				
763930			6447	2700	47	0	5477	1777	0																				
764030		0	208793	105591	4343	0	38189	17991	78661			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
764058			5572	600	149	0	4833	10	0																				
764067			1453	35	9	0	1449	40	0																				
764142			1425	210	30	0	1244	59	0																				
764151			305	0	2	0	308	5	0																				
764441			307	150	1	0	405	249	0																				
764816			2438	160	30	0	2307	59	0																				
765019		0	54974	36637	968	0	22602	8439	3206			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
765318			1055	150	66	0	1006	167	0																				
765354			1059	0	177	0	901	19	0			0	0																
765505			8172	592	20	0	7578	18	0	0	0	0	0																
765662			481	0	1	0	482	2	0																				
765877			614	39	0	0	575	0	0																				
766052			1083	0	6	0	1088	11	0																				
766164		0	54609	32179	584	0	29085	3212	-4027					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
767040			1264	150	35	0	1127	48	0																				
767152			176	0	0	0	181	5	0				0																
767246			131	0	3	0	128	0	0																				
767255			1726	262	18	0	1472	26	0																				
767554			605	112	27	0	501	35	0																				
767572			249	4	0	0	247	2	0																				
767611			1038	72	8	0	969	11	0			0	0																
767732			3679	75	27	0	3594	17	0																				
767974			10107	3125	12	0	7138	168	0																				
768074			13836	600	18	0	13218	0	0																				
768458			957	0	10	0	960	13	0			0	0																
768476			694	0	0	0	694	0	0																				
768953			541	795	5	0	567	826	0																				
769156			858	36	6	0	817	1	0																				
769334			502	0	0	0	502	0	0																				
770068			1187	166	5	0	1053	37	0				0																
770451			1246	60	0	0	1186	0	0																				
770545			173	0	0	0	173	0	0																				
770639			1970	60	105	0	1849	44	0																				
770657			8272	183	39	0	8114	64	0																				
