"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
51842																																																																71924	988	0	48923	49362	0	49362	2704		865	333791	0	0	0	29263	2338	435	153839	3914	6729	11846	5226	145	1401	26249	116947	73355	56664	20539	7607	0	0	0	0	0	0		0	0	4592	1379	74730	43540	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		155678				1107	0	0	0							0	499	0	0	0	246	0	51	0	810	810	0	0	0	2684	51	CONF	CONF		
52719																																																															0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		0				0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF		
52951																																																																30266	962		29480			52261	0		11	220293	2	22611	0	41209	466	38537	46220	2301	5072	8983	2021	9170	13205	17187	29917	45048	33670	36829	13466				4	19			0	0	1224	3974	3664	5655			0			0	0														3822	0	0	0	0		0	139							0	13960	0	0	0	0	0			0	0	0	0	0	14390	0	CONF	CONF		
53051																																																																3195	96		3341			17463	119		450	41146	0	70	0	11360	0	10427	3568	10347	0	171	49	713	0	17004	1440	4111	1326	3813	1095				0	0			0	0	0	0	542	2863			0			0	0														0	0	0	0	0		0	18							0	1212	0	0	0	0	0			0	0	0	0	0	417	0	CONF	CONF		
54058																																																																111799	1981	0	49485	16384	0	16384	0		0	294311	0	105	0	84333	2738	78374	46544	2421	3419	13153	23205	13839	27924	16416	31351	50953	42393	13597	43778	0	0	0	0	0	0		0	0	3244	721	2803	13719	0	105	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196445				214	59	0	59							0	2593	0	0	0	0	0	0	0	214	9	9	0	0	4347	0	CONF	CONF	0	
54656																																																															0	26316	0	0	21513	47493	0	47493	0		813	194356	0	0	60	44232	0	5349	37230	32	189	2309	4019	33574	3944	17661	25112	35169	23152	46059	872	0	0	0	0	0	0		0	0	5885	7945	8708	15933	0	0	0			18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72644				56	44	0	44							0	3796	0	0	0	0	0	0	0	38	0	0	0	38	11678	0	CONF	CONF	0	
54973																																																																0	96167	0	209	1036379	0	1036379	840687		9201	5474960	19725	0	28335	2277426	114259	150518	258450	40799	11020	32893	57320	376975	1746744	941405	257656	886828	266742	538613	290711	0	0	0	0	25900	8414				42406	82143	224658	527079	0	0	0			18097	2980	0	0	0	0	0	0	0	0	0	0	0	0		2841476				24339	28727	244	28727							0	0	0	2007	0	1016	0	3164	0	55	0	0	0	0	189200	3164	CONF	CONF		
55336																																																															0	0	9299		0			66453	15803		0	364404	0	0	0	131401	1503	8817	24240	9663	3415	13326	19890	75857	8829	68103	6346	98722	26844	32988	0				207	278			0	0	3951	11432	52947	65068			0			300	0													0	141014	0	0	0	300		1800	0							0	252	0	0	0	0	0			0	0	0	0	0	4010	0	CONF	CONF	0	
55635																																																																0	0		0			6599	917		0	79511	0	0	0	10252	27	859	7143	0	397	1372	670	4744	3069	7845	10723	23043	23413	3295	0				264	235			0	0	0	713	56578	2558			0			0	0														11170	0	0	0	1352		0	0							0	671	0	0	0	1352	0			0	0		0	0	697	0	CONF	CONF		
55653																																																																211	5517		0			33974	311		160	96976	0	0	0	10426	500	8444	8452	29	317	1160	529	4671	3504	3714	5282	30535	23680	13863	9475				0	11			0	0	0	287	9062	11549			0			0	0														31018	0	0	0	0		0	0							0	24827	0	0	0	0	0			0	0		0	0	141	0	CONF	CONF		
