"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAKW00	RCFAKW03	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAKW00	RCOAKW03	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
720746																																																																	36414	2431	2431	11.1652%	18.1263%	16.9162%	33983	200890	304366	7426	0			10.1263%				32829	304812	1600	16.9162%	1	0	41855	446	0	0	7426	0	0	0	0		0	0	33983	0	0	0	0	0	0	33983	0	0	0	0	0	0	0	0	0	2431	0	446	0	0										
720858																																																																	12206	884	884	12.8517%	17.4217%	16.1600%	11322	70062	88097	-62	0			9.4217%				8122	88097	3200	16.1600%	1	0	11260	0	0	0	-62	0	0	0	0		0	0	11322	0	0	0	0	0	0	11322	0	0	0	0	0	0	0	0	0	884	0	0	0	0										
721350																																																																	46147	3475	3502	10.3604%	11.6794%	10.7930%	42645	395116	411615	138	0			3.6794%				22100	419555	28485	10.7930%	1	0	50723	6219	1721	0	138	0	0	0	0		0	0	42645	0	0	0	0	0	0	42645	0	0	0	0	0	0	0	0	0	3502	0	7940	27	0										
721752																																																																	10105	439	439	16.0049%	25.9429%	24.8158%	9666	38951	60394	183	0			17.9429%				4666	60394	5000	24.8158%	1	0	9849	0	0	0	183	0	0	0	0		0	0	9666	0	0	0	0	0	0	9666	0	0	0	0	0	0	0	0	0	439	0	0	0	0										
721949																																																																	59875	4260	4260	10.7840%	15.6444%	14.5313%	55615	382725	515717	3417	0			7.6444%				19732	526883	47050	14.5313%	1	0	70199	11166	0	0	3418		0	0	0		0	0	55615	0	0	0	0	0	0	55615	0	0	0	0	0	0	0	0	0	4260	0	11166		0										
722227																																																																	7888	438	438	16.6734%	22.7065%	21.4456%	7450	34739	44682	3	0			14.7065%				-7046	44682	14496	21.4456%	1	0	7453	0	0	0	3	0	0	0	0		0	0	7450	0	0	0	0	0	0	7450	0	0	0	0	0	0	0	0	0	438	0	0	0	0										
722432																																																																	38489	1852	1852	12.0057%	20.8008%	19.7999%	36637	185036	305163	-4613	-4832			12.8008%				35037	300331	1600	19.7999%	1	0	32024	0	0	0	219	0	0	-4832	0		0	0	36637	0	0	0	0	0	0	36637	0	0	0	0	0	0	0	0	0	1852	0	0	0	0										
722544																																																																	409449	19315	19315	20.7414%	26.7017%	25.4421%	390134	1533417	1880945	10903	0			18.7017%				364893	1885985	30280	25.4421%	1	0	406076	1000	4040	0	10903	-1	0	0	0		0	0	390134	0	0	0	0	0	0	390134	0	0	0	0	0	0	0	0	0	19315	0	5040	0	0										
722777	10965202	630576	630576	13.3760%	16.9890%	16.0120%	10334626	64543110	77262480	-28651	0			8.9890%			588856	80756003	13239293	16.0120%	0	13799498	3164430	232069	97024	8697		1290	-24372	-14266		0	0	10334626	0	0	0	0	0	0	10334626	0	0	0	0	0	0	0	0	0	630576	0	3493523		0																															1																																													
722816																																																																	96425	5744	5744	9.6372%	16.7934%	15.7930%	90681	574185	940944	-123	0			8.7934%				70504	940944	20177	15.7930%	1	0	90558	0	0	0	1772		0	-1732	-163		0	0	90681	0	0	0	0	0	0	90681	0	0	0	0	0	0	0	0	0	5744	0	0		0										
