"IDRSSD"	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC869	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
633640	0	0	-1052	88	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30123	29287	24266	61698	0	5857	12133	61698	79688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
633677	1471	103	-1211	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4384	0	0	1761	2623	0	0	0	11471	13027	54137	45500	0	2605	27069	45500	75174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
634357	950	0	-1573	72	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936	0	0	0	1936	0	0	0	965	40330	58397	44809	0	8066	29199	44809	82074	0	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	
634544	111	0	-686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1157	23575	24653	39703	0	4715	12327	39703	56745	0	1998	1998	0	0	0	0	0	0	0	0	0	0	0	0	0	
634656	63	0	-388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	448	0	0	0	320	8537	6441	29533	0	1707	3221	29533	34461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
634731	80	0	-689	77	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5444	27623	14979	22382	0	5525	7490	22382	35397	0	3405	3405	0	0	0	0	0	0	0	0	0	0	0	0	0	
634955	1262	0	224	292	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1586	0	0	0	1586	0	0	0	6597	49773	63578	113468	0	9955	31789	113468	155212	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	
634973	0	0	-485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	5217	19311	19807	0	1043	9656	19807	30506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
635457	496	0	-265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	5	82	129	0	0	0	4833	33043	10294	15971	0	6609	5147	15971	27727	0	5024	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	
635475	592	0	-688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8757	16002	28043	7122	0	3200	14022	7122	24344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
635840	655	0	1439	0	0	0	0	0	37	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6276	0	0	0	6276	0	0	0	28312	136414	27086	107375	0	27283	13543	107375	148201	0	9440	9440	0	0	0	0	0	0	0	0	0	0	0	0	0	
635907	2499	641	-2280	578	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6027	0	0	0	6027	0	0	322	14067	96428	234067	307407	0	19286	117034	307407	443727	0	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	
636276	258	0	-131	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30381	16164	59963	112482	0	3233	29982	112482	145697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
636753	0	0	-241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	51867	957	18864	0	10373	479	18864	29716	0	2000	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	
