"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
644963																																							23460	1802	4247	0	0	674	0	2574	63773	53541	1053	54594	0	412	0	0	9179	50	63773	0	0	8959	0	0	150	0	15875	37666			0	31428	31016	20	0	0	0	0	9179		0	
645157																																							9610	5653	19865	0	198	4328	117	2373	167379	151349	246	151595	0	818	0	0	15784	110	167379	0	0	10983	0	0	4559	0	56597	94752			0	113671	112853	132	12382	0	0	0	15784		0	
645317																																							92940	17367	259711	0	23177	29701	135	23746	1191632	1034590	25465	1062689	57	11933	0	0	128886	3842	1191632	0	0	121999	0	0	7332	0	350563	684027			0	756788	744855	-4287	0	0	0	2634	128943	0	0	
645465																																							78667	9781	29137	0	3373	21717	366	24765	810708	702250	3572	728673	0	6142	22851	0	82035	1800	810708	0	0	18075	0	0	61709	0	201023	501227			0	649044	642902	451	0	0	0	0	82035	0	0	
645540																																							661	6669	109167	0	0	8191	0	2987	309713	282779	509	283288	0	2807	0	0	26424	365	309712	0	0	23779	0	0	1900	0	60924	221855			0	176632	173825	380	8213	0	0	0	26424		0	
645577																																							16823	2025	1673	0	0	3844	320	7819	154550	122209	1787	132296	0	2197	8300	0	22254	0	154550	0	0	22247	0	0	0	0	15005	107205			0	124243	122046	7	0	0	0	0	22254		0	
645625																																							30583	162492	2129047	0	916205	177454	4891	425140	12468106	8695448	123555	10395526	0	50859	1148634	25348	2072580	7921	12468106	8667	0	593781	0	0	1466765	18649	2481584	6213864			0	7742300	7691441	4113	0	0	0	402541	2072580	2932	900605	
646042																																							15820	1757	1002	0	0	1392	0	3359	93605	84168	216	84622	0	928	238	0	8983	480	93605	0	0	4793	0	0	3710	0	21124	63044			0	71203	70275	0	0	0	0	0	8983		0	
646145																																							7032	4758	34312	0	0	4054	183	2737	194761	164513	1271	170850	0	1844	4447	0	23911	500	194761	0	0	7253	0	0	16000	0	44990	119523			0	137073	135229	158	6456	0	0	619	23911		0	
646172																																							94250	2761	89	0	124	4862	37	3587	418691	299677	5463	305140	0	2026	0	0	113551	0	418691	0	0	113034	11166	0	0	0	110311	189366			0	300907	298881	517	0	0	0	0	113551		2934	
