"IDRSSD"	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	RCONL136	RCONL137	RCONL138	
3392975	0	0	0	0	0	0	0	0	0	0	66	87910	0	0	0	0	0	78228	0	0	0	88	88	0	0	0	88	0	0	0	0	0	0	0	0	432	802	0	0	0	0	0	0	347	0	34840	0	0	0	0	0	0	0	0	0	5312	12437	60479	0	0	0	0	0	11854	0	0	542	0	-811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579	0	0	0	1579	0	0	0	432	41496	12437	73458	0	8299	6219	73458	87976	0	0	0	13404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124346	0	124346	
3393785	0	0	0	0	0	0	0	0	0	0	503	60432	0	0	0	0	0	62629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14803	8	0	0	0	0	0	0	453	492	5203	0	0	0	0	0	0	0	0	0	252	11153	51224	0	0	0	0	0	3779	0	125	782	36	-812	0	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	9	0	0	0	15420	6245	11193	54089	0	1249	5597	54089	60935	0	0	0	6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85633	0	85633	
3393806	0	0	0	0	0	0	0	0	0	0	0	92393	0	0	0	0	0	89499	0	0	0	135	135	0	0	0	135	0	0	1571	0	0	0	0	0	412	27447	0	0	0	0	0	0	779	0	21810	514	545	0	0	0	302	0	0	0	28	28168	61303	0	0	0	0	0	6961	1571	0	459	133	1509	70	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	1034	0	0	0	412	49744	29117	67885	0	9949	14559	67885	92393	0	0	0	14678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114944	0	113373	
3393824	0	0	0	0	0	0	0	0	0	0	0	84013	0	0	0	0	0	69530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6603	1345	0	0	0	0	0	0	61	1525	5489	0	0	0	0	0	0	0	0	0	0	5717	63813	0	0	0	0	0	1606	0	91	387	37	-692	76	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14712	0	0	0	14712	0	0	0	8219	7221	5754	79692	0	1444	2877	79692	84013	0	0	0	8032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89418	0	89418	
3393842	0	0	0	0	0	0	0	0	0	0	247	52811	0	0	0	0	0	60501	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	1574	310	0	0	0	0	0	0	63	8760	24075	3268	0	0	0	0	0	0	0	0	0	35954	24547	0	0	0	0	0	5025	301	183	617	48	-547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10517	25002	39270	28423	0	5000	19635	28423	53058	0	0	0	8617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102665	0	102364	
3393851	0	0	0	0	0	0	0	0	0	0	185	65079	0	0	0	0	0	59881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	780	0	0	0	0	0	0	-22	0	20759	0	0	0	0	0	0	0	0	0	0	17028	42853	0	0	0	0	0	6270	0	279	94	30	-1023	80	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2875	0	0	0	2874	0	0	0	821	25308	17058	51673	0	5062	8529	51673	65264	0	3675	3675	10318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89869	0	89844	
3394278	0	0	0	0	0	0	0	0	9366	0	0	6506380	0	0	0	0	0	6099983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670029	381	0	0	0	0	0	0	-100071	12981	286773	110908	249678	0	0	0	0	14875	0	0	340836	0	5759147	0	0	0	0	0	313571	0	13891	4983	0	-165764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0	0	0	1251	0	0	9366	696901	632973	120274	6319648	0	126595	60137	6319648	6506380	0	0	0	1087603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7668282	0	7668282	
3394380	0	0	0	0	0	0	0	0	0	0	1279	40620	0	0	0	0	0	32926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2950	10387	0	0	0	0	0	0	57	2906	1812	0	0	0	0	0	0	0	0	0	958	294	31674	0	0	0	0	0	6897	0	217	269	0	-1732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	0	0	0	982	0	0	0	6073	13426	294	39067	0	2685	147	39067	41899	0	0	0	8798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57277	0	57277	
3395293	0	0	0	0	0	0	0	0	0	0	610	265010	0	0	0	0	0	251170	0	0	0	838	838	0	0	0	838	0	0	468	0	0	0	0	0	15168	3285	0	0	0	0	0	0	-2083	0	37947	2692	9708	0	0	0	0	1705	0	5203	0	73290	172677	0	0	0	0	0	10755	468	790	0	0	-5546	279	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24679	0	0	0	24679	0	0	0	21161	41232	75982	219383	0	8246	37991	219383	265620	0	0	0	26529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315231	0	314763	
3396375	0	0	0	0	0	0	0	0	0	0	1222	164542	0	0	0	0	0	152167	0	0	0	528	528	528	0	0	0	0	0	2444	0	0	0	0	0	39027	775	0	0	0	0	0	0	363	3680	17435	0	0	0	0	0	0	0	0	2541	0	14328	135298	0	0	0	0	0	23799	6181	561	664	23	3251	85	72	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3132	0	0	0	3132	0	0	0	46409	18874	14351	154813	0	3775	7176	154813	165764	0	0	0	22968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228323	0	222391	
